SED_File,red,blue,green,Material_Label
2021_Aug_31_SR-3501_SN19387Q4__00362.sed,36.2676571970515,37.91126495426981,38.848980383383065,0
2021_Aug_31_SR-3501_SN19387Q4__00442.sed,36.29453190906003,37.94441441067178,38.87270487827512,0
2021_Aug_31_SR-3501_SN19387Q4__00397.sed,36.2803019383249,37.93212102180908,38.87112579592986,0
2021_Aug_31_SR-3501_SN19387Q4__00406.sed,36.2830796734905,37.93607372597425,38.87202976283245,0
2021_Sep_01_SR-3501_SN19387Q4__00025.sed,35.73499678797542,37.34063673929461,38.24223001064343,0
2021_Aug_31_SR-3501_SN19387Q4__00422.sed,36.2880797857558,37.94024553876672,38.86993917800435,0
2021_Sep_03_SR-3501_SN19387Q4__00169.sed,35.66151803042551,37.254000994191045,38.14779667065203,0
2021_Aug_31_SR-3501_SN19387Q4__00348.sed,35.717387832811454,37.3231552436459,38.22356153247063,0
2021_Sep_03_SR-3501_SN19387Q4__00173.sed,35.713669588334554,37.3272389412395,38.22989148743977,0
2021_Aug_31_SR-3501_SN19387Q4__00445.sed,36.29366321933725,37.94369689101608,38.871744591672986,0
2021_Aug_30_SR-3501_SN19387Q4__00007.sed,35.529832546102895,37.146543611218064,38.05425743600456,0
2021_Sep_03_SR-3501_SN19387Q4__00177.sed,36.264217345907085,37.90691883531007,38.84243807367496,0
2021_Aug_31_SR-3501_SN19387Q4__00443.sed,36.29351800310173,37.9433387785689,38.871004196042,0
2021_Aug_30_SR-3501_SN19387Q4__00010.sed,35.53183713054394,37.14889156504045,38.05640990073344,0
2021_Aug_31_SR-3501_SN19387Q4__00444.sed,36.29439402271605,37.94451671069591,38.87234616322648,0
2021_Sep_03_SR-3501_SN19387Q4__00184.sed,36.266010961923136,37.91496996452193,38.86049017146237,0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,36.290504002228,37.94133023662495,38.86923606660192,0
2021_Aug_31_SR-3501_SN19387Q4__00351.sed,36.2662590715026,37.90883298009774,38.84269331583016,0
2021_Aug_31_SR-3501_SN19387Q4__00409.sed,36.281296610358034,37.93390467835262,38.87053878509663,0
2021_Aug_31_SR-3501_SN19387Q4__00369.sed,36.27168898944001,37.91709667803573,38.860904890789854,0
2021_Sep_03_SR-3501_SN19387Q4__00167.sed,35.66143901763753,37.253714016189846,38.146656325078574,0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,36.28362580976464,37.93636889971033,38.87235715244909,0
2021_Aug_30_SR-3501_SN19387Q4__00009.sed,35.533673929504104,37.1507972966328,38.05875851378964,0
2021_Aug_30_SR-3501_SN19387Q4__00008.sed,35.531748216944415,37.14891455338719,38.056817938362194,0
2021_Aug_31_SR-3501_SN19387Q4__00402.sed,36.279428087422616,37.93173571616502,38.869831280409066,0
2021_Sep_03_SR-3501_SN19387Q4__00178.sed,36.26380253661104,37.90685924699211,38.84164961699191,0
2021_Aug_31_SR-3501_SN19387Q4__00387.sed,36.27486616626799,37.92497599499528,38.86990832771684,0
2021_Sep_03_SR-3501_SN19387Q4__00188.sed,36.29848102371405,37.94885812629943,38.877860080808816,0
2021_Sep_03_SR-3501_SN19387Q4__00185.sed,36.25869644612568,37.90743846129219,38.85397450387186,0
2021_Sep_03_SR-3501_SN19387Q4__00189.sed,36.29812200854165,37.94849991332124,38.8772976630159,0
2021_Sep_01_SR-3501_SN19387Q4__00018.sed,35.58249505461747,37.16233359612463,38.05191261256328,0
2021_Aug_31_SR-3501_SN19387Q4__00365.sed,36.26803676090324,37.91164425773773,38.84965593607164,0
2021_Aug_31_SR-3501_SN19387Q4__00368.sed,36.27181810675645,37.917907769243776,38.86139306200554,0
2021_Aug_31_SR-3501_SN19387Q4__00352.sed,36.26636079737757,37.90951100711351,38.84329019956115,0
2021_Aug_31_SR-3501_SN19387Q4__00400.sed,36.280533415800846,37.93300139823472,38.87256084339408,0
2021_Aug_31_SR-3501_SN19387Q4__00384.sed,36.27520385579115,37.924173222818126,38.86987991577257,0
2021_Sep_03_SR-3501_SN19387Q4__00170.sed,35.66049731565774,37.25285838078858,38.146132871174245,0
2021_Aug_31_SR-3501_SN19387Q4__00389.sed,36.27448010855024,37.92448278181088,38.86874221486548,0
2021_Aug_31_SR-3501_SN19387Q4__00380.sed,36.27317111638952,37.9214773076186,38.8663975198222,0
2021_Aug_30_SR-3501_SN19387Q4__00001.sed,35.549710935436764,37.13561563648659,38.0278516806688,0
2021_Sep_03_SR-3501_SN19387Q4__00166.sed,35.66130691261484,37.253012942780295,38.14616086424269,0
2021_Aug_31_SR-3501_SN19387Q4__00386.sed,36.27488975658177,37.92511980962216,38.86960542175508,0
2021_Aug_31_SR-3501_SN19387Q4__00388.sed,36.273935734168646,37.9240194425976,38.86849035280896,0
2021_Aug_31_SR-3501_SN19387Q4__00353.sed,36.26620813270425,37.909196282453664,38.842955087412406,0
2021_Sep_01_SR-3501_SN19387Q4__00075.sed,36.34504624988787,37.99847210477661,38.93180414813192,0
2021_Sep_01_SR-3501_SN19387Q4__00019.sed,35.57985673377438,37.15944309258432,38.04867856897661,0
2021_Aug_31_SR-3501_SN19387Q4__00447.sed,36.29591227332433,37.94557992629424,38.87340578020766,0
2021_Sep_01_SR-3501_SN19387Q4__00021.sed,35.73591970723598,37.34158755861039,38.24382141334546,0
2021_Aug_31_SR-3501_SN19387Q4__00452.sed,36.30531997263821,37.95507642353984,38.88527048160452,0
2021_Aug_31_SR-3501_SN19387Q4__00367.sed,36.27168965260455,37.917491028717365,38.86081579153953,0
2021_Aug_31_SR-3501_SN19387Q4__00399.sed,36.28017997221292,37.93244496905096,38.872026627322334,0
2021_Aug_31_SR-3501_SN19387Q4__00394.sed,36.27794390469664,37.92900507573799,38.87195059987324,0
2021_Aug_31_SR-3501_SN19387Q4__00440.sed,36.286523938053385,37.93674269213082,38.864464927187406,0
2021_Sep_03_SR-3501_SN19387Q4__00182.sed,36.26738876973528,37.91587282417944,38.861338800114176,0
2021_Sep_03_SR-3501_SN19387Q4__00180.sed,36.263237177087575,37.90611276817423,38.8414822144512,0
2021_Sep_03_SR-3501_SN19387Q4__00183.sed,36.26959031855193,37.91861549462426,38.864726069840174,0
2021_Aug_31_SR-3501_SN19387Q4__00363.sed,36.26771581790484,37.91164915362072,38.85014752763434,0
2021_Aug_31_SR-3501_SN19387Q4__00427.sed,36.28941852409171,37.94098536517975,38.86894356839179,0
2021_Aug_31_SR-3501_SN19387Q4__00429.sed,36.28970977417546,37.941108513811,38.86983089610506,0
2021_Aug_30_SR-3501_SN19387Q4__00002.sed,35.547776549966976,37.13372985592428,38.02592970977948,0
2021_Aug_31_SR-3501_SN19387Q4__00418.sed,36.28591364911168,37.9386677562636,38.87049936787346,0
2021_Aug_31_SR-3501_SN19387Q4__00378.sed,36.27240697761667,37.9207631063176,38.86666980339996,0
2021_Sep_03_SR-3501_SN19387Q4__00179.sed,36.26324430894962,37.90601646767557,38.84055721348691,0
2021_Aug_31_SR-3501_SN19387Q4__00364.sed,36.2677253485845,37.91163734914324,38.84986131251794,0
2021_Aug_31_SR-3501_SN19387Q4__00392.sed,36.27860944390565,37.92965959821315,38.872277374472574,0
2021_Aug_31_SR-3501_SN19387Q4__00428.sed,36.29032546837421,37.94163787130236,38.87087572905494,0
2021_Aug_31_SR-3501_SN19387Q4__00415.sed,36.28348228621942,37.936588813898645,38.87033470496964,0
2021_Aug_31_SR-3501_SN19387Q4__00404.sed,36.280627212096284,37.9332705851004,38.87189122154395,0
2021_Sep_01_SR-3501_SN19387Q4__00072.sed,36.34469232602515,37.99726745661947,38.9305318456867,0
2021_Sep_01_SR-3501_SN19387Q4__00071.sed,36.3444144640368,37.99752752478086,38.93036152844361,0
2021_Aug_31_SR-3501_SN19387Q4__00413.sed,36.28309403504413,37.93618022515739,38.870545583432886,0
2021_Aug_31_SR-3501_SN19387Q4__00449.sed,36.29536980915298,37.94487388647576,38.87204644273369,0
2021_Aug_31_SR-3501_SN19387Q4__00361.sed,36.2684367542068,37.91203581375584,38.85063038446732,0
2021_Aug_31_SR-3501_SN19387Q4__00407.sed,36.28274881227422,37.935634302576176,38.871556452171774,0
2021_Aug_31_SR-3501_SN19387Q4__00439.sed,36.28801220414046,37.93838190443018,38.86677578667147,0
2021_Aug_31_SR-3501_SN19387Q4__00419.sed,36.28607841822576,37.93879348897808,38.87042182939379,0
2021_Aug_31_SR-3501_SN19387Q4__00412.sed,36.28375289132764,37.936421594424,38.87036616970203,0
2021_Aug_31_SR-3501_SN19387Q4__00383.sed,36.27540436775692,37.92455994505992,38.87014670302268,0
2021_Aug_31_SR-3501_SN19387Q4__00350.sed,35.71669265487609,37.32226859747804,38.22225768935151,0
2021_Aug_31_SR-3501_SN19387Q4__00396.sed,36.280180185324426,37.93234022928864,38.87177487465725,0
2021_Aug_31_SR-3501_SN19387Q4__00393.sed,36.27776837481886,37.92910976678134,38.871672920055794,0
2021_Aug_31_SR-3501_SN19387Q4__00375.sed,36.270798538089714,37.918033630544805,38.86388035060935,0
2021_Aug_31_SR-3501_SN19387Q4__00411.sed,36.28328656854606,37.936501495222565,38.87099493249456,0
2021_Aug_31_SR-3501_SN19387Q4__00376.sed,36.27185458254007,37.92011251788677,38.866703717300624,0
2021_Aug_30_SR-3501_SN19387Q4__00004.sed,35.548305360094794,37.1340620690691,38.02631818644855,0
2021_Aug_31_SR-3501_SN19387Q4__00437.sed,36.294076035075136,37.94440431090314,38.8724487000564,0
2021_Aug_31_SR-3501_SN19387Q4__00381.sed,36.2736803574513,37.92281123627536,38.86860086116651,0
2021_Aug_31_SR-3501_SN19387Q4__00435.sed,36.29137802337838,37.942371495417326,38.87038822191659,0
2021_Aug_31_SR-3501_SN19387Q4__00436.sed,36.29454379826885,37.945099736092615,38.87385301680749,0
2021_Aug_31_SR-3501_SN19387Q4__00355.sed,36.26587465003768,37.90882665496629,38.84306866782831,0
2021_Aug_31_SR-3501_SN19387Q4__00370.sed,36.27160836115536,37.9170586952492,38.86093906797811,0
2021_Sep_03_SR-3501_SN19387Q4__00176.sed,36.26420544105129,37.90717478979161,38.842017568562056,0
2021_Sep_03_SR-3501_SN19387Q4__00175.sed,35.71613370554758,37.329540450286,38.23373197834259,0
2021_Aug_30_SR-3501_SN19387Q4__00003.sed,35.54774432774864,37.13371937444118,38.025423413902935,0
2021_Aug_31_SR-3501_SN19387Q4__00450.sed,36.29550696,37.94522100634663,38.87348723873363,0
2021_Aug_31_SR-3501_SN19387Q4__00421.sed,36.288047927774045,37.939956433770334,38.87003580765296,0
2021_Aug_31_SR-3501_SN19387Q4__00405.sed,36.28067315525727,37.93331137977777,38.87103915432612,0
2021_Aug_31_SR-3501_SN19387Q4__00438.sed,36.29399153072711,37.94445858808905,38.872128588405374,0
2021_Aug_31_SR-3501_SN19387Q4__00382.sed,36.27416122618495,37.9235133265549,38.86846997410237,0
2021_Sep_01_SR-3501_SN19387Q4__00073.sed,36.34448256436556,37.99754730147873,38.92982049076414,0
2021_Aug_31_SR-3501_SN19387Q4__00347.sed,35.71968874936702,37.3253342547636,38.22618950840161,0
2021_Aug_31_SR-3501_SN19387Q4__00451.sed,36.30467631828424,37.954391198765904,38.8839852585373,0
2021_Aug_31_SR-3501_SN19387Q4__00432.sed,36.29142840664592,37.942265050761634,38.87020498607085,0
2021_Aug_31_SR-3501_SN19387Q4__00446.sed,36.29624642602363,37.9459427163246,38.87430912087352,0
2021_Aug_31_SR-3501_SN19387Q4__00430.sed,36.29002512567192,37.94148266788146,38.86980717934156,0
2021_Aug_31_SR-3501_SN19387Q4__00398.sed,36.28089093126836,37.933025972975386,38.87335186580286,0
2021_Aug_31_SR-3501_SN19387Q4__00366.sed,36.27162967330648,37.91732322916865,38.86137528637525,0
2021_Aug_31_SR-3501_SN19387Q4__00441.sed,36.29180348801167,37.94186402685756,38.869956837296215,0
2021_Sep_03_SR-3501_SN19387Q4__00181.sed,36.26995746081728,37.91903446728601,38.864934568160095,0
2021_Aug_31_SR-3501_SN19387Q4__00373.sed,36.2689481812897,37.91611649777591,38.86112199065177,0
2021_Aug_31_SR-3501_SN19387Q4__00420.sed,36.286370501371565,37.93899691455589,38.87083072718667,0
2021_Aug_31_SR-3501_SN19387Q4__00426.sed,36.29007420168298,37.94168377628525,38.86987454191547,0
2021_Aug_31_SR-3501_SN19387Q4__00425.sed,36.28835333663316,37.94066765396292,38.87023135233197,0
2021_Aug_31_SR-3501_SN19387Q4__00349.sed,35.717766037940926,37.32350348316125,38.22430330041424,0
2021_Sep_01_SR-3501_SN19387Q4__00016.sed,35.58330816569853,37.163057553862686,38.05220411131408,0
2021_Aug_31_SR-3501_SN19387Q4__00395.sed,36.277927138910606,37.92916203431668,38.87223186409952,0
2021_Aug_31_SR-3501_SN19387Q4__00401.sed,36.28010835948554,37.932677336709645,38.87125106062877,0
2021_Aug_30_SR-3501_SN19387Q4__00006.sed,35.526818560152364,37.14364444007241,38.05135763430275,0
2021_Sep_03_SR-3501_SN19387Q4__00172.sed,35.71492374975539,37.32826101763784,38.23154866388204,0
2021_Sep_01_SR-3501_SN19387Q4__00017.sed,35.58285377644382,37.16252854554933,38.052666686557046,0
2021_Sep_03_SR-3501_SN19387Q4__00174.sed,35.71699814036954,37.33061706971172,38.23374597331168,0
2021_Aug_31_SR-3501_SN19387Q4__00414.sed,36.28280166587773,37.935605449836615,38.86944110840618,0
2021_Aug_31_SR-3501_SN19387Q4__00346.sed,35.72109383578886,37.3267773709168,38.22785665478048,0
2021_Aug_31_SR-3501_SN19387Q4__00354.sed,36.26627778008085,37.90907988833094,38.84278516313119,0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,36.27535460349429,37.92427222446544,38.870693020969725,0
2021_Aug_31_SR-3501_SN19387Q4__00433.sed,36.29116428937229,37.94206892309817,38.87010901188734,0
2021_Sep_01_SR-3501_SN19387Q4__00023.sed,35.73575275180913,37.34112734035436,38.244026276854086,0
2021_Aug_31_SR-3501_SN19387Q4__00374.sed,36.2699376338239,37.91697446630376,38.862936345408826,0
2021_Aug_31_SR-3501_SN19387Q4__00403.sed,36.28015691715947,37.93279745156411,38.87073615595099,0
2021_Aug_31_SR-3501_SN19387Q4__00454.sed,36.30528837973573,37.95520646537707,38.88466225896511,0
2021_Sep_01_SR-3501_SN19387Q4__00020.sed,35.58199055920286,37.16173512161019,38.0513285191322,0
2021_Sep_01_SR-3501_SN19387Q4__00074.sed,36.344208323124434,37.99685977835715,38.929938405850834,0
2021_Aug_30_SR-3501_SN19387Q4__00158.sed,29.12381070282144,30.786455527256383,31.951249308912757,1
2021_Aug_30_SR-3501_SN19387Q4__00062.sed,34.6313607694874,36.29454984245224,37.199520192266334,1
2021_Aug_30_SR-3501_SN19387Q4__00330.sed,32.22037911367762,33.65336744631379,34.27303535252083,1
2021_Aug_30_SR-3501_SN19387Q4__00215.sed,33.875120189184706,35.387416769016845,36.14528969461741,1
2021_Aug_30_SR-3501_SN19387Q4__00244.sed,16.17561725581687,17.173657246312608,18.680786088385243,1
2021_Aug_30_SR-3501_SN19387Q4__00285.sed,27.15646913112463,28.76669037808485,30.016374633074403,1
2021_Aug_30_SR-3501_SN19387Q4__00212.sed,33.87102240802943,35.38341562462975,36.14123140735993,1
2021_Aug_30_SR-3501_SN19387Q4__00174.sed,30.69475488420728,32.34292782313793,33.2483998226215,1
2021_Aug_30_SR-3501_SN19387Q4__00294.sed,28.2113539344324,29.822078971963226,30.78778789517124,1
2021_Aug_30_SR-3501_SN19387Q4__00337.sed,33.30518412382655,34.738630691358594,35.43279385192648,1
2021_Aug_30_SR-3501_SN19387Q4__00127.sed,25.085166354711927,26.640862538812527,27.78087102004429,1
2021_Aug_30_SR-3501_SN19387Q4__00149.sed,28.019802389342143,29.668707927498048,30.92606300557666,1
2021_Aug_30_SR-3501_SN19387Q4__00202.sed,36.05085872251798,37.6916082865088,38.617317270366215,1
2021_Aug_30_SR-3501_SN19387Q4__00313.sed,29.874039887210056,31.407897596136724,32.0708743015149,1
2021_Aug_30_SR-3501_SN19387Q4__00344.sed,33.67191779104627,35.11367771000067,35.83949545356764,1
2021_Aug_30_SR-3501_SN19387Q4__00265.sed,22.92739937257287,24.421884643004105,26.112852560091845,1
2021_Aug_30_SR-3501_SN19387Q4__00209.sed,33.439748243836924,34.95340973733793,35.6839446362706,1
2021_Aug_30_SR-3501_SN19387Q4__00331.sed,32.72869302298841,34.15332221913439,34.801971993607,1
2021_Aug_30_SR-3501_SN19387Q4__00061.sed,34.63267337300014,36.296128333930746,37.20071245792224,1
2021_Aug_30_SR-3501_SN19387Q4__00206.sed,33.44301567404796,34.95672420757361,35.68752319630275,1
2021_Aug_30_SR-3501_SN19387Q4__00014.sed,28.863427044234346,30.48008233721567,31.33473730520892,1
