SED_File,red,blue,green,Material_Label
2021_Sep_01_SR-3501_SN19387Q4__00068.sed,36.24004698520827,37.89227079445575,38.83476346450561,4
2021_Aug_30_SR-3501_SN19387Q4__00158.sed,29.12381070282144,30.786455527256383,31.951249308912757,1
2021_Aug_30_SR-3501_SN19387Q4__00062.sed,34.6313607694874,36.29454984245224,37.199520192266334,1
2021_Sep_01_SR-3501_SN19387Q4__00961.sed,20.07765557448801,21.460235173989563,23.38612235883976,6
2021_Aug_31_SR-3501_SN19387Q4__00362.sed,36.2676571970515,37.91126495426981,38.848980383383065,0
2021_Sep_01_SR-3501_SN19387Q4__00101.sed,36.23589354317107,37.88799105948007,38.813900889874034,4
2021_Sep_01_SR-3501_SN19387Q4__00574.sed,35.001161225374034,36.60041046019494,37.44917506309038,5
2021_Aug_31_SR-3501_SN19387Q4__00241.sed,24.16171848987728,25.29848915825213,26.67020751674134,2
2021_Sep_01_SR-3501_SN19387Q4__00608.sed,33.50646070126373,35.11446148922144,36.14342834045475,5
2021_Sep_01_SR-3501_SN19387Q4__00620.sed,33.796483019379565,35.44462517707362,36.56001642111703,5
2021_Sep_01_SR-3501_SN19387Q4__00062.sed,36.245951503165614,37.89671110725912,38.84158964381614,4
2021_Sep_01_SR-3501_SN19387Q4__00643.sed,34.34165476596907,36.03467423664538,37.026847150019535,5
2021_Sep_01_SR-3501_SN19387Q4__00330.sed,36.22281658312054,37.8743581032444,38.7928940035774,4
2021_Sep_01_SR-3501_SN19387Q4__00400.sed,34.13805352039968,35.793734118275125,36.80937056719372,5
2021_Sep_01_SR-3501_SN19387Q4__01059.sed,33.72988857653817,35.0884246513276,35.83276671226554,6
2021_Sep_01_SR-3501_SN19387Q4__00810.sed,35.54347853969297,37.17942048543063,38.06527887385371,6
2021_Sep_01_SR-3501_SN19387Q4__00409.sed,34.29933584407392,35.96527456451499,36.989914164350445,5
2021_Aug_31_SR-3501_SN19387Q4__00648.sed,35.59284570413419,37.21464325596945,38.0938705317651,3
2021_Sep_01_SR-3501_SN19387Q4__00139.sed,36.25293887251095,37.899937209480726,38.827026330310815,4
2021_Sep_01_SR-3501_SN19387Q4__00478.sed,35.58682465310791,37.19963723641105,38.07180538916354,5
2021_Sep_01_SR-3501_SN19387Q4__00164.sed,36.13927350753117,37.78072133262023,38.718960701327305,4
2021_Aug_31_SR-3501_SN19387Q4__00486.sed,34.80395441041589,36.43983814175901,37.46668464976559,3
2021_Sep_01_SR-3501_SN19387Q4__00059.sed,36.24964374865837,37.899569018826426,38.84594802528231,4
2021_Aug_31_SR-3501_SN19387Q4__00442.sed,36.29453190906003,37.94441441067178,38.87270487827512,0
2021_Sep_01_SR-3501_SN19387Q4__00721.sed,31.74602468994057,33.420298643026484,34.26912392358736,6
2021_Sep_01_SR-3501_SN19387Q4__00639.sed,34.23277873608417,35.92095557603814,36.9547033707659,5
2021_Aug_31_SR-3501_SN19387Q4__00707.sed,34.60599290468061,36.2134497455036,37.180973503049685,3
2021_Sep_01_SR-3501_SN19387Q4__00661.sed,34.75417315082278,36.43016254690886,37.29202420521731,5
2021_Aug_31_SR-3501_SN19387Q4__00534.sed,35.288745302070794,36.923691563539776,37.81377998047088,3
2021_Sep_01_SR-3501_SN19387Q4__00052.sed,36.24691869178679,37.89524448483393,38.841411786988914,4
2021_Sep_01_SR-3501_SN19387Q4__00789.sed,35.2174260348859,36.87710512172028,37.77151607252283,6
2021_Aug_30_SR-3501_SN19387Q4__00330.sed,32.22037911367762,33.65336744631379,34.27303535252083,1
2021_Aug_31_SR-3501_SN19387Q4__00554.sed,35.622479244581385,37.22978502858953,38.10490035044921,3
2021_Sep_01_SR-3501_SN19387Q4__00551.sed,34.33993207613452,35.997385428455246,36.94086040024637,5
2021_Sep_01_SR-3501_SN19387Q4__00005.sed,35.808703782793344,37.42328992416128,38.3290496938557,4
2021_Aug_31_SR-3501_SN19387Q4__00169.sed,29.599139481852863,31.16113292152385,32.343608826318786,2
2021_Sep_01_SR-3501_SN19387Q4__00252.sed,36.25922401643978,37.90522921926669,38.82945476244819,4
2021_Aug_31_SR-3501_SN19387Q4__00547.sed,35.55232784076806,37.16322874345374,38.03514169203505,3
2021_Sep_01_SR-3501_SN19387Q4__00088.sed,36.2371619215454,37.89058617054161,38.82479394933642,4
2021_Aug_31_SR-3501_SN19387Q4__00616.sed,35.1879186668088,36.83819267791026,37.79810192120495,3
2021_Sep_01_SR-3501_SN19387Q4__00718.sed,30.883636711015427,32.5308955949364,33.36710614151745,6
2021_Sep_01_SR-3501_SN19387Q4__00929.sed,33.45684613551079,34.94298213405057,35.6790995422659,6
2021_Aug_31_SR-3501_SN19387Q4__00397.sed,36.2803019383249,37.93212102180908,38.87112579592986,0
2021_Sep_01_SR-3501_SN19387Q4__00988.sed,24.970538285678064,26.535075006763076,27.93516405505114,6
2021_Sep_01_SR-3501_SN19387Q4__00651.sed,34.532291457890224,36.22379411249873,37.1470940271328,5
2021_Sep_01_SR-3501_SN19387Q4__00526.sed,33.95835464724048,35.61981970785765,36.71235925217779,5
2021_Aug_30_SR-3501_SN19387Q4__00215.sed,33.875120189184706,35.387416769016845,36.14528969461741,1
