SED_File,red,blue,green,Material_Label
1235,34.82413717469273,36.43705334910198,37.34076134845869,9
3982,27.675396790368527,29.225097036043085,30.771805343103814,8
4014,29.4738671512973,31.14036862107225,32.99881616811034,8
2091,30.038105029723543,31.72546240079349,33.61769491884296,8
3422,34.70505717139062,36.31935096656459,37.21893469380965,9
4987,35.91173124570053,37.565181382523626,38.53741018975217,9
1452,31.448406135465845,33.171115877941325,34.81490192063519,2
3711,34.43039875858283,36.08235717864712,37.05887314618436,7
3574,26.277345852787583,27.69176002579617,28.39501964688419,8
201,18.62701195196279,19.627318130834,20.30974380851527,2
1287,36.02768111508515,37.679492403600335,38.63928415410729,10
1951,27.221431164881437,28.71902010173365,29.52982261493033,7
5012,35.84422665312798,37.49470547851409,38.49561824263392,9
1965,34.52292010688583,36.17419453356322,37.17836221668568,7
2578,32.49346601524383,34.12978260066598,35.254170340679856,8
5275,31.49904618700212,33.07101105892325,34.090786743209854,8
437,28.578518897881672,30.20761574909752,31.01657740242085,4
721,31.68988167281733,33.217593040763774,34.42338841870319,10
873,33.70949090331599,35.311859600106324,36.16307555173608,9
1892,33.75874654804795,35.363487466483626,36.21192741664145,9
3551,35.48778167659852,37.14362286889512,38.10791454850291,7
2204,34.54373887389938,36.21287057467421,37.48260241038421,2
2854,32.91018469013873,34.648962695858444,36.11513595196099,7
1220,35.93501247683779,37.585035441286585,38.5468818203524,9
1042,35.213023755516346,36.86953891693548,37.8341739603502,2
4627,26.43988024244485,27.88978039925713,28.72119042267425,2
913,33.72142916092076,35.355570928023894,36.39073649527727,2
4199,32.44233850859034,34.057737618733,35.138321763179256,8
1506,31.85552081818611,33.600829882333294,35.36314822556073,2
1386,24.61290181293794,26.281126492531296,28.590114901390297,8
2423,36.06497273443321,37.71039641335096,38.67130727752665,10
4264,35.7150343787128,37.36396363009232,38.33573164738055,9
5157,35.62103204163752,37.26259116870135,38.22910827304151,9
218,19.197334342799213,20.15103139054145,20.76190563948687,5
2580,33.29761397301922,34.95623874159627,35.983632345905434,8
2437,34.07394960147895,35.662786459575685,36.54181939073823,10
18,34.350696703219974,35.95572859668181,36.92071528132395,9
3164,27.70304705368904,29.19008020282615,30.041282275239837,2
2551,35.67543958027793,37.33264256482429,38.28974748824996,7
3584,31.822878960669648,33.421585663845875,34.5403664136583,8
3159,34.80529937434158,36.4177624718811,37.319615870951466,10
3497,35.58183527950725,37.24115907745439,38.20537013980587,7
4639,33.31103497011575,34.93106458696269,35.97700444466915,2
3402,35.80156978866353,37.447985715049214,38.41565327139814,9
428,3.321418748590009,4.123657724999588,4.174243140583059,4
1594,35.30337645882967,36.95587324539743,37.96940609,9
3890,34.47229667048275,36.13809570706753,37.40597200025142,2
3083,27.870449372972622,29.483925016114,30.758479942705826,8
3668,35.09385497484591,36.7283355301118,37.70749244456368,2
895,36.003219793121566,37.65830192885335,38.614987319554274,9
1179,29.79631700525292,31.293429967283632,32.092505672607984,7
3994,29.65045335020145,31.30486200815732,32.91088715319578,8
1010,31.86912983604955,33.506073374363844,34.65337326869898,8
496,26.172981103908832,27.570881948741885,28.459411654374044,2
3864,34.34849351007997,35.98645954260044,37.18508067993755,2
4924,34.87328110518697,36.53420024333789,37.64485169893348,2
848,25.91671863289057,27.483734655253784,28.66797832379248,8
1305,34.83957396592367,36.4644168867024,37.45091276917926,2
4301,35.69941980045186,37.3574741571314,38.30523451782895,7
4770,35.90203787174714,37.54939255369562,38.49464588092972,10
2181,34.42171181374647,36.06601029177975,37.25613718081525,2
1258,33.45997628783673,35.100097948914126,36.193332686680215,8
3523,36.119851856425136,37.766665944048846,38.72484552594168,10
2243,36.1900245933117,37.84750284144384,38.80866413967709,10
2307,35.47958235424375,37.1353805378636,38.10961316786858,7
1980,27.0312100333475,28.493219845331605,29.30706139642428,7
318,15.609660774766065,16.857538403521886,17.242206310320118,8
1560,36.2343470819669,37.89182620159253,38.84865432688828,10
2460,36.169179283880695,37.82305549835039,38.77407573168306,10
1546,36.19854780804684,37.85607058142071,38.81545541260386,10
2137,34.88678471959712,36.5199436602142,37.55964589378391,9
3619,32.90890811745396,34.548107014496786,35.663838076366915,8
4919,34.46227838882907,36.11700180857206,37.327617429686256,2
4001,20.4981755720825,21.913850712107152,23.59199481371061,8
4342,34.255096882032724,35.85619561691005,36.7448115566588,10
1213,34.70106519844004,36.31777905073795,37.21575630309832,9
3732,29.881748555717675,31.461659465293337,32.41903585745412,7
818,32.89530177935024,34.51659679851254,35.72163032551364,7
1249,32.346705919009906,33.95572401053209,35.09029295291032,8
2212,34.90595465644029,36.59391697171338,37.85703042772212,2
2109,35.09520683769323,36.73925524309941,37.75152944835001,9
3924,35.80677743053729,37.45001552220543,38.4274615995334,9
1361,24.164141710575127,25.848372224880908,27.9831219198819,8
4981,35.78466257325043,37.434425818813935,38.42593043051214,9
31,15.91403701451161,15.307022877412468,15.684451654139265,10
1200,35.64979104847789,37.30786741953317,38.2630860786125,7
4350,36.07089516442519,37.71656623716992,38.65961413374689,10
3639,34.86634044998175,36.49092133156253,37.46875757899742,2
2474,32.14007222687757,33.73364920166359,34.789418644990285,8
3210,35.20021895935718,36.8646692836957,37.81557655055636,7
1620,36.10658692921497,37.76605587655579,38.7454933809582,9
2005,35.19586142712189,36.86576127407116,37.94480385528309,7
923,34.759962728041025,36.4172194734012,37.39877142130822,2
3792,34.97938251817424,36.60270961978772,37.514690976875,9
213,28.70077942867064,30.25081969885607,31.11151407363276,10
855,27.06322808203468,28.661802718053718,29.96768576954381,8
20,34.347595690176014,35.95291101166109,36.91683832864327,9
5242,28.90099966106341,30.335472745163983,31.134352173890857,2
4276,34.16605441978964,35.77197457791104,36.65884957187055,9
4446,34.979818794596255,36.62401028837273,37.63300630804287,2
4009,22.035342207153278,23.592632200005177,25.411430600847712,8
972,34.81444155177483,36.47944831115164,37.45852172906482,7
165,27.413491217242832,28.9648052629108,29.764213965167222,10
713,29.24451038071628,30.77729368233029,32.18290064258117,7
3604,24.57185158655912,25.8930341820488,26.5485239164091,8
2926,34.622430827857215,36.291074430771374,37.58499997232998,2
3955,35.973398460082315,37.62599070465405,38.62247080147731,9
638,20.505100124544622,21.859932636763517,22.978849413466367,8
1002,31.693585163144277,33.296344085110114,34.434533005743084,8
1950,25.13562683134441,26.49515058424119,27.27306005186149,2
3526,36.07821568396909,37.72847292113531,38.689819100543936,10
4946,34.36854005176778,36.03148982174546,37.355574856925614,2
2074,21.426739219016884,22.872690399080213,24.629003325930874,8
