Sample,red,green,blue,black,N1,N2,N3,Material
4688,28.68665427054146,20.123078998445884,17.242202165325597,51.08679184042283,3.7350826735074687,3.4409760419826507,3.392478389755807,8.0
2524,58.3258161332677,42.4043132771134,38.22406345223486,111.69618624320724,8.690030438123157,7.852460870878005,7.976373771332122,2.0
4023,51.0807975821491,37.33573675226282,34.40881536910008,98.7653969350251,7.685238555058037,7.01048132185422,7.2595859466718835,8.0
4753,59.4096196615402,43.222338713827966,39.02301358685102,114.18439287124163,8.901374975147405,8.045256005222992,8.182459295077624,9.0
2021_Aug_31_SR-3501_SN19387Q4__00162.sed,48.715350858430185,35.731994648152735,32.74455774549173,92.44438663824795,7.230933956573174,6.51339618658146,6.551860613050285,2.0
2021_Sep_01_SR-3501_SN19387Q4__00663.sed,57.76474396721337,41.91343263958477,37.76711590495775,110.12863277538351,8.560059897692888,7.732265932128729,7.81993205681631,5.0
2021_Sep_01_SR-3501_SN19387Q4__00563.sed,57.81262936800687,41.89773618007877,37.813050539081075,110.09665598451583,8.565401113603212,7.719612745143548,7.817681447973353,5.0
2021_Aug_31_SR-3501_SN19387Q4__00714.sed,57.166385676459385,41.60341088496635,37.55469574445906,109.70456634162717,8.54078796165749,7.722164331778076,7.858547015099064,3.0
2021_Aug_30_SR-3501_SN19387Q4__00159.sed,50.14132518239553,36.12458167214989,32.199098101103374,92.88212640642728,7.1008015579478965,6.3951365518661305,6.431259252427169,1.0
2021_Sep_01_SR-3501_SN19387Q4__00957.sed,31.766845391408506,23.260575322071645,21.55741242846981,57.87160721933646,4.491054311304884,3.9743942752879535,4.0232347504653,6.0
3853,42.5076243807722,30.52530603261651,27.1297206547053,79.41224978535506,6.059637873155422,5.488291390020802,5.538754234832821,2.0
5059,59.23512582761908,43.11595185266009,38.966096119568824,113.97489336089082,8.887852759194296,8.036340154264064,8.18229539199842,9.0
2021_Sep_01_SR-3501_SN19387Q4__00573.sed,58.16478504816859,42.1390858241915,38.05793083186978,110.8206982396008,8.631925310883,7.770569433982964,7.871972158125807,5.0
4630,45.14100269091442,32.443976026392534,28.86106225699144,84.36151152232343,6.442849448479346,5.830641696479187,5.885383336459848,2.0
5032,59.24294838018196,43.11948284020872,38.967142501914566,113.97407580696458,8.888912104853961,8.035896169341068,8.179328984592317,9.0
aug_0.0_95e5e8d2,59.734176188681076,43.47028131952359,39.252564704300994,114.90413256597532,8.961614929402993,8.09971904173361,8.239511754665935,0.0
2021_Aug_30_SR-3501_SN19387Q4__00030.sed,56.800182953886605,41.00097611370362,36.636152411389205,107.47125496063838,8.278317244803144,7.4852505361114705,7.592534871269807,1.0
aug_6.0_e166a68b,58.48368579228644,42.33189688435946,37.94365057029137,111.29566187627502,8.614704209771636,7.785558964406422,7.8976718521205465,6.0
2021_Sep_01_SR-3501_SN19387Q4__00048.sed,59.62841728724807,43.40267927207259,39.191747006264585,114.77635603558018,8.952531735221285,8.093058810297903,8.236559395297393,4.0
4376,59.341747236270166,43.1868510526689,39.000109436002134,114.14678100627435,8.900807346401336,8.046439626589168,8.186819375559052,9.0
aug_6.0_b40f34ec,43.040163820192205,31.434667301598353,28.684735964289956,79.45720343056263,6.184654658266368,5.515302661091441,5.482797004495589,6.0
2021_Aug_31_SR-3501_SN19387Q4__00261.sed,45.07008600535809,33.172372460236645,30.570471973059206,85.90400137397545,6.727545103042855,6.06729271124628,6.145847780005403,2.0
aug_1.0_9a9a44dc,58.56935366375405,42.37273072749029,38.09648823249018,111.45318062082056,8.651346405928312,7.799281803181269,7.910047267663041,1.0
aug_4.0_1ad08d39,59.640347483370185,43.41199895237027,39.19851446789342,114.75003779375967,8.948782660108423,8.08995009261192,8.23082480798293,4.0
2021_Aug_31_SR-3501_SN19387Q4__00385.sed,59.67848109440085,43.44188259813643,39.23040027136275,114.858242354992,8.958522405229834,8.098635797649079,8.241532391285785,0.0
2021_Sep_01_SR-3501_SN19387Q4__01015.sed,47.0307125435332,34.14277330608858,31.124405915053714,86.45333612478811,6.76669225122077,5.987197668568479,5.894762518292762,6.0
1021,45.333992405458716,32.56543935545532,29.081585360119032,85.25086324545893,6.561690275648302,5.927442800540092,5.989356920930949,8.0
576,43.15091535732638,31.05640812925035,27.79188511329265,81.81043047921632,6.2788970811408,5.709084399291488,5.814155641341897,2.0
761,53.383028306894076,38.96107144865506,35.52719672995858,104.03099439707805,8.096568010219643,7.384130795702024,7.657089483926994,7.0
2021_Aug_31_SR-3501_SN19387Q4__00102.sed,55.17365254264465,39.64583967114925,36.28894169699066,103.36419777010272,8.112072519270054,7.185153948588287,7.21601748076537,2.0
aug_3.0_2b89533b,57.9234546516807,42.127565151711934,38.03193692228448,110.80026351315226,8.632288853600265,7.789501462728082,7.899469081802691,3.0
3523,59.43135401941683,43.26374896143875,39.08216366150687,114.37261932370554,8.921281816695874,8.065047172649038,8.207018328127315,9.0
2021_Sep_01_SR-3501_SN19387Q4__00384.sed,56.698072641556266,41.13305457663268,37.036776213683325,108.51749377803725,8.422239084955223,7.6284385012958635,7.745790077143306,5.0
3866,56.79719256745364,41.38790464702632,37.58956696409247,109.46600709601628,8.534691640252255,7.726542123535028,7.909813125369208,2.0
aug_3.0_fa0a66b8,57.855938645575904,42.106435038622564,38.01062786099393,110.96753316798504,8.641820352104643,7.810193310938967,7.9409069405254895,3.0
2072,35.006508544970416,25.418128197851605,23.83478883590666,68.74668664338611,5.311035150238116,4.926522417773566,5.245125034970018,8.0
2021_Aug_31_SR-3501_SN19387Q4__00473.sed,57.1449232559384,41.57422412667899,37.5217592931001,109.70483282640697,8.542059841045575,7.723439405377935,7.858960185253445,3.0
1467,57.14427001682567,41.685936866319814,37.888331000925014,110.16549585067541,8.595812651893837,7.780048317667554,7.958544712336871,2.0
aug_0.0_e8471688,59.67159615258362,43.43693837668164,39.22618917734229,114.84858236242935,8.958007880064102,8.098119831100329,8.241171047852646,0.0
3092,51.422936930997935,37.16988367515451,33.23385117816844,95.92247806374269,7.36702419664684,6.646822071988807,6.678601085980704,8.0
2021_Aug_31_SR-3501_SN19387Q4__00010.sed,42.23483335014437,30.885347085465916,28.695784104576163,81.17814205510933,6.374196536025245,5.759822135781949,5.861323382767452,2.0
718,48.034596029904954,34.762455714924556,32.03499683189844,94.55903168286001,7.357873156433548,6.772190411750789,7.088748970388762,7.0
1115,56.714812939453914,41.258330127399525,37.26975668142519,109.04054834316779,8.499862419409641,7.689191401567011,7.81665964068648,9.0
46,25.702909590902667,19.152289464743042,18.178264423740796,52.2805582849302,4.246067112928708,3.855666014284556,3.952509263636957,7.0
2021_Sep_01_SR-3501_SN19387Q4__00709.sed,20.408714887508722,14.931709648265183,14.282013714199376,38.26669957908267,3.0535716110855287,2.673883674318495,2.7077597045546637,6.0
4759,59.24001204679905,43.09774931749055,38.9061141823353,113.83703605044965,8.872968703098188,8.0197000432506,8.155837197954682,9.0
341,13.255471182482005,9.546550182841749,8.352780944250846,24.39223484533835,1.8136929967083475,1.7246910419795312,1.6318995854960303,2.0
2021_Aug_30_SR-3501_SN19387Q4__00338.sed,56.11565114597973,40.35368982186002,36.49925302726707,105.26020629790293,8.209958889722845,7.3071434190441025,7.359722965596841,1.0
2021_Sep_01_SR-3501_SN19387Q4__00644.sed,57.080055499189406,41.45344375142434,37.33574274848834,108.97934541755954,8.457464495068384,7.656629154067379,7.7571429873963895,5.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,49.52109933092632,36.28636117061315,33.225935268992615,93.78594056889621,7.3402966327395625,6.60280033470139,6.62234761537826,2.0
2540,58.548823963795556,42.56418616238642,38.35224052875469,112.2807532157648,8.733124329932263,7.897109292395957,8.031602923508016,7.0
2021_Sep_01_SR-3501_SN19387Q4__00816.sed,59.18554697071557,42.87040880655674,38.60254770575389,113.04118902244926,8.78824586602722,7.9278389712832995,8.054279052446436,6.0
1964,57.3817201168572,41.6394015180921,37.42303441517243,109.52841594956487,8.49071327675118,7.678248597502161,7.802529509200638,7.0
4899,37.84039756619617,27.77063102817215,26.764492916061847,77.6388134785729,6.079527257784035,5.723469458409335,6.243242346563792,8.0
4223,54.432129954588305,39.473394113271695,35.45382150998663,103.8788044231267,8.048559120350639,7.2844394610779535,7.393345167845742,7.0
5111,59.23700051118184,43.111504861721826,38.931535704681224,113.86607617752065,8.878203939649136,8.02424690861448,8.160365465062435,9.0
2021_Aug_31_SR-3501_SN19387Q4__00354.sed,59.64613933617744,43.41488879486651,39.20622274911658,114.81974200955955,8.956676975548103,8.096599273312064,8.24020258717967,0.0
2021_Sep_01_SR-3501_SN19387Q4__00802.sed,58.94232019910456,42.66897548109354,38.35466861767806,112.36009428446329,8.722702601960407,7.869748422587975,7.988567998671698,6.0
2021_Sep_01_SR-3501_SN19387Q4__00609.sed,55.553404823914875,40.28695040201418,36.24361747915011,106.42593074644121,8.246989421422747,7.48092262191413,7.613998132890606,5.0
aug_6.0_3989555e,58.48498902347082,42.333199451850106,37.946327294749715,111.29901449108333,8.61567754609595,7.785747620150882,7.89850723355539,6.0
4914,56.43156145644425,41.11158832378031,37.335454179641836,108.63566402035691,8.465698852858065,7.662868220112234,7.842012190327434,2.0
2021_Sep_01_SR-3501_SN19387Q4__00034.sed,59.80734508195822,43.52706649373984,39.30748969235566,115.08659293206716,8.976220765130247,8.113976145543033,8.256041697185667,4.0
2021_Sep_01_SR-3501_SN19387Q4__00176.sed,59.468583280298226,43.303011571375,39.096698252294445,114.46026602997622,8.926873608365124,8.07135592419269,8.213042645240712,4.0
5241,50.41511599790219,36.62918278995038,33.084736123298995,96.59360997709837,7.517250969740322,6.799387800092628,6.9039606912686375,2.0
4248,52.20799319961671,37.85570288401142,33.989217438657384,99.5897602766328,7.712726402545517,6.982517316109537,7.0869426008545355,7.0
aug_0.0_f16076ff,59.70531347277493,43.45890795005633,39.244430040207526,114.8806849715676,8.960004606321611,8.09959544885913,8.240307327820814,0.0
2021_Sep_01_SR-3501_SN19387Q4__00758.sed,58.32948444982141,42.21077197837606,37.80162686762514,110.95012215211572,8.579046616016985,7.756424460130683,7.872042278842608,6.0
3574,44.24739622681589,31.872237401232653,28.76049736093183,83.78052564061133,6.494756043857027,5.864884914106687,5.934876490037229,8.0
2021_Sep_01_SR-3501_SN19387Q4__00868.sed,51.11898230629291,36.599559393617184,32.45928098500513,94.10870207528885,7.156710932133162,6.448152161328809,6.468643426861156,6.0
4234,58.57105793258304,42.57084140877426,38.35101134941732,112.2406005800081,8.728463482812302,7.891016057050875,8.022321511621026,7.0
828,33.2608039083357,23.65802092362012,21.284738582339095,62.91823453351242,4.7638250758583265,4.402862807478951,4.541101914478304,8.0
2021_Aug_30_SR-3501_SN19387Q4__00223.sed,57.295303655304096,41.258479680085124,37.228727479954856,108.08867129373417,8.411186769833161,7.524077495955781,7.608590732114486,1.0
2021_Sep_01_SR-3501_SN19387Q4__00556.sed,57.4692382192291,41.66729977535693,37.59918218789358,109.43005976691718,8.508503377386296,7.674221211212075,7.770681166782106,5.0
2021_Aug_30_SR-3501_SN19387Q4__00068.sed,58.041516882523965,41.97441598382174,37.66683128022672,110.21636236948466,8.53551214481868,7.701656157908854,7.806954569940166,1.0
2021_Aug_31_SR-3501_SN19387Q4__00045.sed,46.66399539707262,34.16546662223978,31.587466843224874,87.87459560462875,6.879043557180033,6.180513916212132,6.189902383717589,2.0
aug_1.0_07ddf4ce,49.7770608372942,35.58008098019644,31.474564206864066,92.29936353103513,7.0031802920315425,6.34153979235373,6.388915185736201,1.0
aug_3.0_8c89532d,56.6715385424564,41.210261139922835,37.18277403737667,108.83251422980223,8.477183003206584,7.665466416009506,7.792173721616157,3.0
4646,56.141834632946086,40.751630383380956,36.65910016868985,106.94061744788944,8.290621861842444,7.491419762997271,7.604998079954665,2.0
2021_Aug_31_SR-3501_SN19387Q4__00434.sed,59.733084430770504,43.469554723925384,39.25179713168386,114.90179534259869,8.961419446392267,8.099381953532433,8.239387481029235,0.0
4809,53.562857994061666,39.06597850668891,35.74682603459053,104.07574304412228,8.099907420253498,7.385837786947276,7.64360905782413,7.0
3214,58.41491381824596,42.398928609878276,38.145240148851045,111.59574270718015,8.665238164623123,7.830699190513982,7.950442647550701,7.0
2021_Aug_30_SR-3501_SN19387Q4__00114.sed,59.50280864940548,43.176856921999075,38.974652350239495,114.0577373795134,8.885383216403518,8.019747346864984,8.157469638298853,1.0
2021_Sep_01_SR-3501_SN19387Q4__00069.sed,59.63766408788629,43.40930628782769,39.19493815904195,114.7429273309964,8.948133989131636,8.089276456222422,8.230314346500052,4.0
aug_1.0_5e7dc3d2,58.038487678852036,41.968955523207796,37.660797570332946,110.20180003330486,8.534379826564521,7.699676598932038,7.804174091475042,1.0
2021_Sep_01_SR-3501_SN19387Q4__00127.sed,59.68486216100619,43.41664418583134,39.19865987994798,114.73840770220266,8.94686600791391,8.084487527713566,8.223044774262528,4.0
3687,48.949191323652,35.53931508840145,32.02718884475077,93.65259625645433,7.275225715813319,6.581789387395313,6.687729153628495,2.0
593,55.00461746716273,40.05890770938636,36.33974973789936,107.27659206519627,8.391116464348174,7.6348413921589415,7.834163753893913,9.0
2021_Sep_01_SR-3501_SN19387Q4__01031.sed,50.935596969172124,36.63090335741387,33.37527310690112,93.65689929549124,7.357765526533253,6.4587937218057,6.380602372269023,6.0
aug_0.0_f2cff2fd,59.74141402407756,43.473838892618204,39.2565602437096,114.91565925870069,8.962348907706016,8.100187780554322,8.240341317845862,0.0
aug_6.0_3afed662,37.19465556834817,26.563798167688333,23.52289194891192,68.09173163929938,5.129553551237144,4.640578932553868,4.6508883784883865,6.0
545,44.21392744378355,31.826600308988276,28.482170998661264,83.84041305248545,6.4397768467831416,5.850893241362039,5.96055720205994,2.0
3159,57.39007687265144,41.742125436566084,37.640258722948985,110.25402144364307,8.585010048533622,7.766080796220065,7.896190615212316,9.0
aug_4.0_54135be0,58.87862235700308,42.84688206602189,38.68264724480732,113.35759320990402,8.843342809987202,7.993914483776142,8.134781510679634,4.0
4228,58.541449141598115,42.532390154191084,38.297497544730014,112.18100091333525,8.720253200086109,7.885069255500184,8.017481359207999,7.0
2021_Sep_01_SR-3501_SN19387Q4__00504.sed,55.43286134321576,40.18471691541938,36.222261136153094,105.9549264470487,8.207299903436883,7.4334650282238375,7.5825514108068734,5.0
2021_Aug_31_SR-3501_SN19387Q4__00516.sed,58.06495164616486,42.24160295061688,38.13277065514924,111.18528039308391,8.661353417260226,7.821558440758274,7.936717770563254,3.0
aug_6.0_4cb46793,56.71693660662875,40.586658693511744,36.532154199545175,106.07077283250385,8.224113520410208,7.341093555345914,7.4055610768325915,6.0
2313,58.92716487955336,42.804827351696,38.52826069667444,112.82773189265603,8.769642893633543,7.9269434925218505,8.055563190671085,7.0
763,53.69466890274674,39.19248436032173,35.72513288968953,104.59647568906368,8.142553728944339,7.423203579644449,7.6904047209238025,7.0
2021_Sep_01_SR-3501_SN19387Q4__00438.sed,57.80793380676806,41.95005390816341,37.80816457888637,110.2669508772171,8.56757013934768,7.741801484731878,7.840292954964097,5.0
4413,57.68409183197512,41.90177510959574,37.71079505290679,110.36564272982027,8.572085486628682,7.7491808100315165,7.879611707748685,2.0
aug_6.0_c02a678f,53.37718422609894,38.20108732249906,34.06966447537708,98.51250923858811,7.562438659789597,6.769387241813455,6.767362239573561,6.0
aug_0.0_16c4a1c7,59.74562860389767,43.47352706628368,39.25531644931942,114.91872943147708,8.962519272675113,8.100100362904474,8.24026049045169,0.0
