SED_File,red,blue,green,black,Material_Label
2021_Aug_30_SR-3501_SN19387Q4__00015.sed,49.743795859930955,31.45302612151777,35.54830450265973,92.24835836104091,1
2021_Aug_31_SR-3501_SN19387Q4__00707.sed,57.090152244691325,37.49288587736464,41.53515135898269,109.65285536946047,3
2021_Aug_31_SR-3501_SN19387Q4__00160.sed,47.55332197812059,32.05085509400822,34.91287408920732,90.44435248443017,2
2021_Aug_30_SR-3501_SN19387Q4__00071.sed,58.11075066236019,37.712730643697085,42.0154928653748,110.36611568292716,1
2021_Aug_31_SR-3501_SN19387Q4__00277.sed,48.41110998002185,32.54473240597873,35.52137800014615,91.84779432366335,2
2021_Aug_31_SR-3501_SN19387Q4__00332.sed,56.02170437875132,36.84643757662045,40.43457320605897,105.64508663790687,2
2021_Sep_01_SR-3501_SN19387Q4__00735.sed,57.98729593908241,37.45345437127669,41.911255950578784,110.15420778828205,6
2021_Aug_31_SR-3501_SN19387Q4__00047.sed,47.380573161886915,31.98780570497792,34.63375928066674,88.95296026826924,2
2021_Aug_31_SR-3501_SN19387Q4__00673.sed,59.388941731358884,38.97176302713878,43.129662588048845,113.92931648984441,3
2021_Sep_01_SR-3501_SN19387Q4__00220.sed,59.5597857021268,39.14108042948128,43.35399087557646,114.56111971093837,4
2021_Sep_01_SR-3501_SN19387Q4__00129.sed,59.67204014952024,39.18622417141483,43.4028966293124,114.72604671839443,4
2021_Aug_30_SR-3501_SN19387Q4__00290.sed,47.782699892412055,31.074210988450886,34.607378775661246,88.15514648850836,1
2021_Sep_01_SR-3501_SN19387Q4__00507.sed,55.668662581662296,36.38517628343797,40.3627743014973,106.36997115795899,5
2021_Aug_30_SR-3501_SN19387Q4__00278.sed,45.23218098763029,29.340155730848586,32.762864831216454,83.24298812362397,1
2021_Aug_31_SR-3501_SN19387Q4__00432.sed,59.722003570328994,39.24105470477072,43.457275830298926,114.89413901141143,0
2021_Aug_31_SR-3501_SN19387Q4__00128.sed,39.963376085260506,27.408355284815322,29.41375892060172,77.45024289420036,2
