Wavelength (nm),Responsivity
400,0.02968546190517822
401,0.03153148560956064
402,0.03359760426155381
403,0.03586703652464088
404,0.03830587770777774
405,0.04085812940913873
406,0.043442140919147915
407,0.04595047049106526
408,0.048255363549854144
409,0.05022120850010783
410,0.05172314260686933
411,0.052667963851128846
412,0.05301124444876086
413,0.05276484663283312
414,0.051992356091069516
415,0.05079457115215158
416,0.049290442825575376
417,0.04759922276112301
418,0.045827574858971806
419,0.04406272170853307
420,0.042370716709661825
421,0.040798100055677536
422,0.03937524566357829
423,0.03812016544462704
424,0.037042050629397444
425,0.036144228587507654
426,0.035426463411598504
427,0.034886657211099965
428,0.034522058660191195
429,0.034330091172377786
430,0.03430889862797393
431,0.03445768524334274
432,0.03477690449522388
433,0.03526833255887664
434,0.035935044979470775
435,0.03678130086148032
436,0.03781232607039486
437,0.03903397526871884
438,0.0404522419416516
439,0.04207257649332325
440,0.04389896664778544
441,0.0459327348732252
442,0.04817101932215574
443,0.05060493475372131
444,0.053217466218960556
445,0.055981237998011656
446,0.058856424532550446
447,0.061789216557178325
448,0.06471138970207889
449,0.06754158288872857
450,0.07018879951965659
451,0.07273437258440296
452,0.07510665244406053
453,0.07725275012979885
454,0.0791242755567947
455,0.080680682668889
456,0.08189220035212107
457,0.08274194465707554
458,0.08322691726768724
459,0.08335777190769483
460,0.08315743064529528
461,0.08265880506275144
462,0.08190198353649805
463,0.08093126962836253
464,0.07979240721652588
465,0.0785302319868205
466,0.07718687765585742
467,0.07580056474551339
468,0.07440492510325263
469,0.07302877106944483
470,0.07169620085541832
471,0.07042693406601151
472,0.06923678546872535
473,0.06813820443081461
474,0.06714082726588706
475,0.06625200734732475
476,0.0654773020662289
477,0.06482090634547061
478,0.06428602983302067
479,0.06387521968761846
480,0.06359063367687051
481,0.06343426970497779
482,0.06340815833957855
483,0.0635145247664494
484,0.0637559261180491
485,0.06413536946640361
486,0.06465641504980289
487,0.06532326857804727
488,0.06614086576250328
489,0.06711495155283939
490,0.06825215592455595
491,0.06956006743189248
492,0.07104730509250273
493,0.07272358846922163
494,0.07459980501881579
495,0.07668807283867161
496,0.0790017958022081
497,0.08155570666562827
498,0.08436589197644452
499,0.08744979043446702
500,0.09082615366155283
501,0.09277600968135312
502,0.09498894677966241
503,0.09747925837668014
504,0.10026214799602029
505,0.1033534440593196
506,0.10676917367621416
507,0.11052494995854376
508,0.11463511724607717
509,0.11911158865913547
510,0.12396230255632655
511,0.12918922216764822
512,0.13478581127842867
513,0.14073394622704488
514,0.14700028110748636
515,0.15353218108217015
516,0.16025348908385018
517,0.16706059775388113
518,0.17381954809671807
519,0.18036512618175182
520,0.18650309572536922
521,0.19201666405375273
522,0.19667789516520412
523,0.20026396957920792
524,0.20257699888190472
525,0.20346479700426034
526,0.20283904774516892
527,0.20068718189502768
528,0.19707525433763062
529,0.19214101616570875
530,0.18607859588173098
531,0.1791179584600266
532,0.1715030415355949
533,0.16347208017323772
534,0.15524246634375047
535,0.1470010794410414
536,0.13889982721613314
537,0.1310553874549804
538,0.12355185396664359
539,0.11644504691132708
540,0.10976749125835107
541,0.10353336811258246
542,0.09774302021104288
543,0.09238680825157186
544,0.08744826243302668
545,0.08290656306295884
546,0.07873843017075263
547,0.07491951920273934
548,0.07142541966057947
549,0.06823234421839237
550,0.06531758275144214
551,0.062385021968601025
552,0.059737187492973784
553,0.05734746934780569
554,0.05519227383450714
555,0.053250733818022825
556,0.05150443579949415
557,0.049937168730097875
558,0.04853469674555458
559,0.04728455624967251
560,0.04617587672066656
561,0.045199224027307895
562,0.044346464765122266
563,0.04361065004787669
564,0.04298591724361627
565,0.0424674082793219
566,0.04205120332272872
567,0.04173426886475473
568,0.04151441946041867
569,0.04139029263500948
570,0.041361336724795604
571,0.041427811700140385
572,0.041590803318564504
573,0.04185225128348731
574,0.04221499245085379
575,0.042682820542923904
576,0.043260564311412716
577,0.04395418665961992
578,0.04477090790802972
579,0.04571935719792347
580,0.04680975700652
581,0.04805414693544695
582,0.049466654379625025
583,0.05106382144081167
584,0.05286499957944611
585,0.05489282606142524
586,0.057173799305013956
587,0.05973897378971582
588,0.06262479920779311
