wavelength,responsivity
400,0.02914745271833884
401,0.03090984936359059
402,0.03289577186077191
403,0.03509374257245906
404,0.03747718394845378
405,0.039999315297385936
406,0.042588835014838594
407,0.04514816344564283
408,0.047556451278809364
409,0.04967919576262482
410,0.05138466032930186
411,0.052564482496289866
412,0.05315306771525878
413,0.0531394840981962
414,0.05256775940581869
415,0.051525874285724076
416,0.050127826463813495
417,0.04849471382188477
418,0.0467395724451717
419,0.044958099137373725
420,0.04322502219962018
421,0.04159459244833136
422,0.04010341155007853
423,0.03877415789205117
424,0.03761928969984099
425,0.03664425911565992
426,0.03585007968737747
427,0.03523526278407671
428,0.03479721562166929
429,0.03453321399510809
430,0.03444105471878842
431,0.034519473283370676
432,0.03476839030310143
433,0.0351890298724724
434,0.03578393514878757
435,0.03655689119641216
436,0.037512751761242955
437,0.03865715457703703
438,0.03999609872595926
439,0.041535347743498666
440,0.04327961472221376
441,0.04523148306135988
442,0.047390022862517076
443,0.049749084377397716
444,0.052295294127897254
445,0.05500585422142748
446,0.05784635532694662
447,0.06076895314306274
448,0.06371140279513117
449,0.06659754540053432
450,0.06933982168589224
451,0.07197953165975711
452,0.07447379721401029
453,0.07676816356321844
454,0.07881086471082124
455,0.08055624984246863
456,0.08196802768803865
457,0.08302189698842696
458,0.08370719392418592
459,0.08402733354064082
460,0.083999018355023
461,0.08365038351133756
462,0.08301839574169115
463,0.08214589305117348
464,0.08107863964231654
465,0.07986269501464831
466,0.07854228807359559
467,0.0771582767599808
468,0.0757471827776031
469,0.07434072960198812
470,0.07296578044652885
471,0.07164456553824515
472,0.07039509692991837
473,0.0692316865611472
474,0.06816550354285614
475,0.06720512591545996
476,0.06635705845392609
477,0.06562620078928853
478,0.06501625930217286
479,0.0645301024326988
480,0.06417006288816395
481,0.06393819234042439
482,0.0638364751213674
483,0.06386700756451481
484,0.06403214931042073
485,0.0643346523063868
486,0.06477777252701132
487,0.06536536870650422
488,0.06610199165273868
489,0.06699296702561544
490,0.06804447380864884
491,0.06926362006976107
492,0.07065851697244095
493,0.07223835133116592
494,0.0740134562674985
495,0.07599537867026926
496,0.07819694114120072
497,0.08063229485361571
498,0.08331695819422447
499,0.08626783411492808
500,0.08950319670465925
501,0.09131981694141224
502,0.09339307126457941
503,0.09573695142319327
504,0.09836652589985306
505,0.10129772562398735
506,0.10454701035983582
507,0.10813087502685613
508,0.11206514505346035
509,0.11636399904680955
510,0.12103864692678065
511,0.12609558473141555
512,0.13153434778469725
513,0.13734469838359156
514,0.1435032219483639
515,0.14996937865447194
516,0.1566811789707862
517,0.16355083129983053
518,0.17046094721931515
519,0.17726216096258102
520,0.18377326422261386
521,0.18978506893109165
522,0.1950690468871848
523,0.19939122024240852
524,0.20253074374583413
525,0.2043012668738036
526,0.20457186516585812
527,0.20328361771066908
528,0.20045824505631335
529,0.1961967162444871
530,0.19066798353641212
531,0.18409023087804868
532,0.17670844934438737
533,0.1687723831544091
534,0.16051804933253197
535,0.15215461663002033
536,0.14385699702961152
537,0.1357634443487611
538,0.12797690280172053
539,0.12056873846507968
540,0.11358366142963189
541,0.1070449473255253
542,0.10095937939481103
543,0.09532159439121524
544,0.09011770629355048
545,0.0853282044984141
546,0.08093019187881362
547,0.07689905900683719
548,0.07320969793731208
549,0.06983735270409779
550,0.06675819114466523
551,0.06366142046419075
552,0.06086523836441117
553,0.058341168767624546
554,0.056063935253816005
555,0.05401116094535384
556,0.05216308171927396
557,0.050502279638569285
558,0.049013439998558214
559,0.047683133145229144
560,0.0464996208422403
561,0.04545268616285993
562,0.0445334854686903
563,0.04373442087549645
564,0.043049031607609325
565,0.042471902745965184
566,0.04199859004151506
567,0.04162555967058003
568,0.04135014203690436
569,0.0411704989688466
570,0.04108560391651749
571,0.041095235023594634
572,0.04119998123574082
573,0.041401261918218135
574,0.041701360797919015
575,0.042103475430514584
576,0.04261178383534659
577,0.04323153045577394
578,0.04396913421145807
579,0.044832322136580685
580,0.045830292974787745
581,0.04697391616470717
582,0.04827597294346611
583,0.04975144787189817
584,0.05141788100365209
585,0.053295793246065655
586,0.055409200257606456
587,0.05778623354566008
588,0.060459891281599246
589,0.06346894566328176
590,0.0668590381810496
591,0.07068399830480537
592,0.07500742372285017
593,0.07990455905170715
594,0.08546450069136985
595,0.09179273064385647
596,0.09901392828204039
597,0.10727490315161767
598,0.11674729487669615
599,0.12762933413426264
600,0.14014535135514405
601,0.15309651346673583
602,0.16773650002882015
603,0.18421545341230297
604,0.20263081198115895
605,0.22297671361837346
606,0.24507094466149
607,0.2684600206635855
608,0.2923149792963841
609,0.31535181935856715
610,0.3358367439061012
611,0.35174841875831914
612,0.36113441095292353
613,0.36259786598262056
614,0.355727779890762
615,0.3412529229103583
616,0.32082723754650133
617,0.29656134788577887
618,0.2705295871700717
619,0.24443303538693234
620,0.21946833303569527
621,0.1963523420313653
622,0.1754237239539415
623,0.1567601192839384
624,0.14027881667313563
625,0.12581090379580018
626,0.11315048562531124
627,0.10208465668009015
628,0.09241017426785418
629,0.08394161727023802
630,0.07651442737624495
631,0.06998506768209073
632,0.06422969093889955
633,0.05914214552177206
634,0.05463178857051325
635,0.050621356530253084
636,0.047045013832647295
637,0.04384662669668726
638,0.04097826891141286
639,0.03839894614287355
640,0.03607351631529879
641,0.033971780877520036
642,0.03206772229925061
643,0.030338865234603087
644,0.028765741484947788
645,0.027331441676926704
646,0.02602123918753934
647,0.024822274184947493
648,0.023723287678149664
649,0.022714397189085533
650,0.02178690710432183
651,0.020952031743540787
652,0.020182870379523824
653,0.019473525050986144
654,0.018818764840508442
655,0.018213940958247427
656,0.017654914082848847
657,0.01713799202846827
658,0.016659876136494924
659,0.016217615060466945
660,0.01580856483415354
661,0.015430354295029694
662,0.015080855085732732
663,0.014758155580492663
664,0.014460538186739366
665,0.014186459557972052
666,0.01393453332564296
667,0.013703515017800642
668,0.01349228888261556
669,0.013299856377352221
670,0.013125326119241797
671,0.012967905125167562
672,0.01282689119304175
673,0.01270166629999156
674,0.012591690911626185
675,0.012496499113257797
676,0.012415694488450028
677,0.012348946683044093
678,0.012295988604192313
679,0.012256614214193724
680,0.01223067688832213
681,0.012218088314584992
682,0.01221881792165626
683,0.012232892829273874
684,0.012260398323371148
685,0.012301478866298968
686,0.01235633966088557
687,0.012425248795967474
688,0.01250854001063026
689,0.012606616124963367
690,0.012719953196934499
691,0.012849105478352406
692,0.01299471125818713
693,0.0131574996992112
694,0.013338298794548438
695,0.013538044594938958
696,0.013757791886137502
697,0.013998726529855655
698,0.0142621797222371
699,0.014549644472529641
700,0.014862794663251442
701,0.015192723640896477
702,0.015549144252874354
703,0.015934036529078054
704,0.016349608176613132
705,0.01679832373432989
706,0.01728293833201234
707,0.017806536878661596
708,0.018372579673300155
709,0.01898495563927877
710,0.019648044638910022
711,0.02036679064175669
712,0.021146787912864853
713,0.021994382876911737
714,0.022916794926642614
715,0.02392226021260261
716,0.025020203419233784
717,0.026221443755746907
718,0.02753844294088617
719,0.028985604931895843
720,0.030579639659456107
721,0.03234000623540072
722,0.03428945519299514
723,0.03645469454280199
724,0.03886721107501745
725,0.041564286752756655
726,0.04459026058192057
727,0.047998099323008726
728,0.05185135592495656
729,0.056226612143955426
730,0.06121651972142416
731,0.0669335683144106
732,0.07351470825820607
733,0.08112692169164754
734,0.08997372557350625
735,0.10030232509292689
736,0.11241056610683171
737,0.12665168879858058
738,0.14343269651004054
739,0.1631982063213582
740,0.18638507201531462
741,0.21332355381217866
742,0.2440509989160492
743,0.278005284365061
744,0.3136065545802585
745,0.34786159168197606
746,0.37633960188728616
747,0.3939912135007655
748,0.39690949872482495
749,0.38417616569531593
750,0.3583830066355451
751,0.32436500260393736
752,0.2872732207650159
753,0.25090403866026173
754,0.2175019282386267
755,0.18803812305166573
756,0.16266678913726415
757,0.14111041553659104
758,0.12291244778729954
759,0.10757844492149779
760,0.09464438390050495
761,0.08370352791517147
762,0.07441208545855685
763,0.06648519563316346
764,0.05968929212104712
765,0.0538337839810456
766,0.04876333892686359
767,0.044351226594661695
768,0.040493790627231095
769,0.03710595390601301
770,0.034117606057942104
771,0.031470717227666214
772,0.029117037502215795
773,0.02701626316809331
774,0.0251345728234944
775,0.023443455744936066
776,0.021918771109710543
777,0.020539989791039458
778,0.019289580862487266
779,0.018152513136680048
780,0.0171158484598206
781,0.016168408465775393
782,0.015300500371346705
783,0.014503690414650761
784,0.013770615894944927
785,0.013094828615114433
786,0.012470663973467046
787,0.0118931310888564
788,0.011357820241236834
789,0.010860824621442484
790,0.010398673950066096
791,0.009968277977255257
792,0.009566878237421047
793,0.009192006724176482
794,0.008841450386020404
795,0.00851322053386189
796,0.00820552640645887
797,0.00791675226631592
798,0.00764543750215412
799,0.007390259299157912
800,0.007150017508350454
801,0.0069314162414854785
802,0.006725101858675994
803,0.006530219826201736
804,0.006345989140954078
805,0.006171694959956527
806,0.006006682073281245
807,0.005850349112586365
808,0.005702143402660919
809,0.005561556376206764
810,0.0054281194829917615
811,0.0053014005337906735
812,0.005181000427451029
813,0.0050665502161944
814,0.004957708470069787
815,0.004854158906463348
816,0.004755608254863103
817,0.004661784330780818
818,0.004572434295935897
819,0.004487323084579732
820,0.0044062319782459
821,0.0043289573133044185
822,0.004255309307522022
823,0.004185110993420525
824,0.004118197247617036
825,0.004054413906547339
826,0.003993616960042342
827,0.003935671815166147
828,0.0038804526235507713
829,0.003827841666190302
830,0.0037777287903006775
831,0.003730010893419569
832,0.003684591450423956
833,0.003641380079590019
834,0.0036002921442158347
835,0.0035612483866805673
836,0.003524174592127543
837,0.0034890012792392197
838,0.0034556634158220303
839,0.0034241001571434313
840,0.0033942546051635627
841,0.003366073586984837
842,0.0033395074510036114
843,0.0033145098793944372
844,0.003291037715688365
845,0.0032690508063255184
