Wavelength,Responsivity
400,0.05058759463171224
401,0.05118022301800915
402,0.051912079050767806
403,0.05279054849048558
404,0.053824720381175084
405,0.05502558986633282
406,0.056406310813793305
407,0.05798250805704468
408,0.059772661786820835
409,0.06179858008514762
410,0.0640859800148669
411,0.06666520336364454
412,0.0695721004905303
413,0.07284912525724405
414,0.07654669642578874
415,0.08072489704485888
416,0.08545560433454281
417,0.09082516975343269
418,0.09693780381258657
419,0.1039198642563938
420,0.11192530029259831
421,0.12114256844641563
422,0.13180340116202624
423,0.14419385999158613
424,0.1586680992803805
425,0.17566511120765632
426,0.1957282236913677
427,0.219525881356737
428,0.24786947543993532
429,0.28171824237674065
430,0.3221500240431411
431,0.3702564137547881
432,0.42688880321451034
433,0.49214473839528383
434,0.5644816174245718
435,0.6394911286633397
436,0.7088452626412632
437,0.7607041179747938
438,0.7830411933432726
439,0.7692838212983901
440,0.7222511187639986
441,0.6526137975370967
442,0.5733252552959462
443,0.49476236892080827
444,0.4230365890184088
445,0.36065262934786413
446,0.3078715739822163
447,0.26385276960989773
448,0.22736253581420385
449,0.1971387819781809
450,0.17204708505382332
451,0.15374454923111724
452,0.13807360214264403
453,0.12459380841279008
454,0.11294382156696174
455,0.10282761514880222
456,0.09400249000285266
457,0.08626902798620903
458,0.07946285819692088
459,0.07344799125126183
460,0.06811145818584423
461,0.0633590110894332
462,0.059111676921608014
463,0.055302992183282135
464,0.051876779109164176
465,0.04878535216280751
466,0.045988066690013506
467,0.04345014012733201
468,0.0411416908729435
469,0.039036951513982086
470,0.03711362219573194
471,0.035352337040658134
472,0.03373622210570069
473,0.03225052774362583
474,0.03088232167462345
475,0.029620231785106383
476,0.02845422981272466
477,0.027375448774653952
478,0.02637602834678053
479,0.025448983479325216
480,0.02458809239779656
481,0.023787800832118844
482,0.023043139876561758
483,0.02234965533624852
484,0.021703346784134554
485,0.021100614852423323
486,0.02053821552782592
487,0.020013220421497592
488,0.01952298215032922
489,0.019065104103264143
490,0.01863741397982003
491,0.018237940582343026
492,0.017864893422173386
493,0.017516644765669585
494,0.017191713801181438
495,0.01688875265444617
496,0.016606534018986464
497,0.01634394020116863
498,0.016099953407624785
499,0.01587364712659289
500,0.015664178475066588
501,0.015481650559414278
502,0.015311415316261266
503,0.015152993711050777
504,0.015005946128852294
505,0.014869869773980922
506,0.014744396329191401
507,0.014629189850904502
508,0.014523944879705267
509,0.014428384747817297
510,0.014342260067452494
511,0.014265347385895789
512,0.014197447994941301
513,0.014138386883880813
514,0.014088011826679337
515,0.014046192595280553
516,0.014012820292182052
517,0.013987806796531024
518,0.01397108431902248
519,0.013962605061855088
520,0.013962340980925938
521,0.013970283648333316
522,0.01398644421412448
523,0.014010853467078612
524,0.014043561995168301
525,0.01408464044720591
526,0.014134179898065365
527,0.014192292320786814
528,0.014259111169835395
529,0.01433479208080577
530,0.01441951369295938
531,0.014513478602164242
532,0.014616914453098108
533,0.014730075180989944
534,0.01485324241474167
535,0.014986727055007155
536,0.015130871042748363
537,0.015286049335961666
538,0.015452672114720283
539,0.01563118723744183
540,0.015822082974432158
541,0.01602589104831762
542,0.016243190015047877
543,0.01647460902379526
544,0.016720831999403947
545,0.016982602297156105
546,0.017260727886666487
547,0.017556087129840775
548,0.017869635227233966
549,0.018202411418037117
550,0.01855554703158408
551,0.01896083491624151
552,0.019389437594658585
553,0.01984284443990021
554,0.02032267734687439
555,0.020830704489642145
556,0.02136885579337603
557,0.021939240365547025
558,0.022544166170597322
559,0.02318616227921967
560,0.023868004078854425
561,0.024592741897865707
562,0.025363733574237338
563,0.02618468159311823
564,0.027059675529391793
565,0.027993240665580545
566,0.02899039381670865
567,0.030056707588267458
568,0.0311983845286341
569,0.03242234292246842
570,0.03373631631831357
571,0.035148969306247634
572,0.03667003257796418
573,0.03831046093454057
574,0.04008261868445348
575,0.042000497831163754
576,0.044079975629510784
577,0.04633911954753925
578,0.04879854947242035
579,0.05148186922811625
580,0.05441618222818377
581,0.05763270948787279
582,0.061167532401539805
583,0.06506248780240691
584,0.06936624900691479
585,0.07413563391486132
586,0.07943718979791961
587,0.08534911394709102
588,0.09196357919445812
589,0.09938954193720095
590,0.10775611452165691
591,0.11721657761974327
592,0.12795308027212873
593,0.14018200518336507
594,0.15415982854127075
595,0.17018901465273772
596,0.18862295094812795
597,0.20986797838759647
598,0.23437894802332165
599,0.26264208916011494
600,0.2951349590576471
601,0.32901485606604436
602,0.36697283470436115
603,0.4088876626689206
604,0.4541608598095441
605,0.5014814757495394
606,0.5486027468091093
607,0.5922497466307859
608,0.6283306341096027
609,0.6525898184584966
610,0.6616425294217009
611,0.6540198745723289
612,0.6306878972419605
613,0.5947297609274227
614,0.5503767152181807
615,0.5019090769110504
616,0.45287723966492194
617,0.405785523640386
618,0.36213281252034957
619,0.3226283597970297
620,0.287441974217585
621,0.25641671236242874
622,0.22922315036355195
623,0.20545997870045574
624,0.18471405683991834
625,0.16659304459619126
626,0.15074084527076437
627,0.1368429442528741
628,0.12462619694743031
629,0.11385584057558462
630,0.10433134304271699
631,0.09588198067768888
632,0.08836260525274083
633,0.08164981151129153
634,0.07563857793899582
635,0.07023938045100699
636,0.06537574328125274
637,0.060982177022818496
638,0.057002450721320916
639,0.05338814754895064
640,0.05009745873055212
641,0.04709417633992434
642,0.04434685144892085
643,0.04182808947696434
644,0.03951395929479659
645,0.03738349666003775
646,0.035418285946476696
647,0.03360210694540986
648,0.031920635844905565
649,0.030361191408073647
650,0.02891251894328934
651,0.02758017225200864
652,0.026337968299708345
653,0.025178119025081318
654,0.024093645194041453
655,0.02307827931665963
656,0.022126381664873195
657,0.0212328674445605
658,0.020393143488633952
659,0.01960305309715123
660,0.01885882786575535
661,0.018157045522939914
662,0.01749459294609091
663,0.01686863365122248
664,0.016276579156047938
665,0.0157160637040094
666,0.015184921910965024
667,0.014681168958757304
668,0.014202983012778246
669,0.01374868958548536
670,0.013316747605934758
671,0.01290573698784317
672,0.01251434751639305
673,0.012141368897680582
674,0.011785681835010955
675,0.011446250013682034
676,0.011122112890903655
677,0.010812379200437452
678,0.010516221092720981
679,0.010232868840914863
680,0.009961606051700437
681,0.009701765326945078
682,0.009452724328693832
683,0.00921390220547649
684,0.00898475634274684
685,0.008764779404495514
686,0.008553496636777081
687,0.00835046340714041
688,0.008155262956804542
689,0.007967504344934952
690,0.007786820566589301
691,0.007612866827857357
692,0.007445318963448542
693,0.007283871983509864
694,0.0071282387378156275
695,0.006978148686673102
696,0.006833346768960481
697,0.006693592358665389
698,0.006558658302142797
699,0.0064283300290678465
700,0.006302404730737506
701,0.006185679264830825
702,0.0060726441672106935
703,0.005963148836888755
704,0.005857050252748168
705,0.005754212523341843
706,0.005654506467428148
707,0.005557809222879816
708,0.0054640038818031455
709,0.0053729791498878165
710,0.0052846290281733325
711,0.005198852515569511
712,0.005115553330604298
713,0.005034639650998247
714,0.004956023869777158
715,0.004879622366738538
716,0.004805355294181497
717,0.004733146375895746
718,0.004662922718484077
719,0.004594614634164362
720,0.004528155474262855
721,0.004463481472670991
722,0.0044005315985924465
723,0.00433924741795837
724,0.0042795729629345886
725,0.004221454608987523
726,0.004164840959014184
727,0.0041096827340782495
728,0.004055932670326582
729,0.004003545421691614
730,0.003952477468012706
731,0.003902687028235567
732,0.003854133978372854
733,0.003806779773930711
734,0.00376058737652686
735,0.0037155211844441443
736,0.0036715469668812187
737,0.0036286318016778727
738,0.0035867440163077306
739,0.003545853131944245
740,0.003505929810419495
741,0.0034669458039064205
742,0.0034288739071667482
743,0.003391687912216371
744,0.003355362565270336
745,0.0033198735258374813
746,0.003285197327843687
747,0.0032513113426699217
748,0.0032181937439985098
749,0.003185823474367651
750,0.003154180213340402
751,0.0031240088240365553
752,0.003094508929933651
753,0.003065662802684625
754,0.003037453318026924
755,0.003009863931650001
756,0.0029828786561823415
757,0.002956482039239445
758,0.0029306591424773983
759,0.0029053955215999528
760,0.0028806772072701072
761,0.0028564906868798427
762,0.002832822887134587
763,0.002809661157411059
764,0.002786993253849855
765,0.0027648073241460817
766,0.00274309189300339
767,0.0027218358482188516
768,0.0027010284273676346
769,0.002680659205058505
770,0.0026607180807322723
771,0.002641195266977373
772,0.0026220812783376212
773,0.0026033669205889213
774,0.002585043280462695
775,0.0025671017157951367
776,0.002549533846082288
777,0.002532331543422286
778,0.0025154869238267624
779,0.0024989923388845756
780,0.0024828403677617144
781,0.002467023809522239
782,0.002451535675755706
783,0.002436369183497382
784,0.0024215177484281855
785,0.0024069749783419813
786,0.0023927346668684117
787,0.002378790787440163
788,0.0023651374874938463
789,0.0023517690828946053
790,0.002338680052574607
791,0.0023258650333764096
792,0.002313318815092365
793,0.0023010363356918387
794,0.0022890126767283405
795,0.0022772430589189582
796,0.0022657228378889956
797,0.0022544475000749646
798,0.0022434126587793646
799,0.0022326140503711005
800,0.0022220475306256
801,0.0022104283530140992
802,0.0021990514608936284
803,0.0021879125345130937
804,0.002177007374138029
805,0.002166331896530051
806,0.002155882131553851
807,0.0021456542189065234
808,0.002135644404964504
809,0.002125849039743482
810,0.002116264573966874
811,0.0021068875562387035
812,0.002097714630316814
813,0.0020887425324826025
814,0.00207996808900365
815,0.002071388213685648
816,0.0020629999055103527
817,0.002054800246356304
818,0.0020467863987992455
819,0.002038955603989373
820,0.002031305179602486
821,0.0020238325178624384
822,0.0020165350836323067
823,0.0020094104125717824
824,0.002002456109358402
825,0.0019956698459704684
826,0.001989049360029334
827,0.001982592453199145
828,0.0019762969896419073
829,0.001970160894526055
830,0.0019641821525867363
831,0.0019583588067359436
832,0.0019526889567209327
833,0.0019471707578292592
834,0.001941802419638939
835,0.0019365822048122332
836,0.0019315084279316339
837,0.0019265794543767351
838,0.001921793699240682
839,0.001917149626284905
840,0.0019126457469310423
841,0.0019082806192888295
842,0.0019040528472188526
843,0.0018999610794292673
844,0.0018960040086052198
845,0.0018921803705702783
846,0.0018884889434787706
847,0.0018849285470381957
848,0.0018814980417609386
849,0.00187819632824435
850,0.0018750223464785126
851,0.0018717386105018372
852,0.0018685665084933242
853,0.0018655051387341886
854,0.0018625536291388433
855,0.0018597111367737542
856,0.0018569768473935748
857,0.0018543499749942775
858,0.0018518297613827907
859,0.0018494154757627528
860,0.0018471064143359922
861,0.0018449018999194225
862,0.0018428012815769387
863,0.0018408039342660211
864,0.0018389092584987095
865,0.0018371166800166556
866,0.0018354256494799534
867,0.001833835642169465
868,0.0018323461577023877
869,0.0018309567197607834
870,0.0018296668758329081
871,0.0018284761969669548
872,0.0018273842775371895
873,0.0018263907350221133
874,0.0018254952097945254
875,0.0018246973649233152
876,0.001823996885986758
877,0.001823393480897196
878,0.001822886879736936
879,0.0018224768346051872
880,0.0018221631194759655
881,0.0018219455300667927
882,0.0018218238837180837
883,0.0018217980192831212
884,0.0018218677970285207
885,0.0018220330985450756
886,0.0018222938266689607
887,0.0018226499054131134
888,0.0018231012799088688
889,0.001823647916357652
890,0.0018242898019928152
891,0.0018250269450514661
892,0.0018258593747563093
893,0.0018267871413075172
894,0.0018278103158845388
895,0.0018289289906578761
896,0.001830143278810859
897,0.0018314533145713876
898,0.0018328592532536698
899,0.0018343612713099967
900,0.0018359595663925846
901,0.001839605001272749
902,0.0018433616960083837
903,0.0018472303397575587
904,0.001851211650200444
905,0.0018553063738702487
906,0.0018595152865002306
907,0.0018638391933871782
908,0.0018682789297716045
909,0.0018728353612350323
910,0.0018775093841146915
911,0.0018823019259360037
912,0.001887213945863244
913,0.0018922464351687428
914,0.001897400417721103
915,0.0019026769504928436
916,0.0019080771240879081
917,0.0019136020632895632
918,0.001919252927629186
919,0.0019250309119763988
920,0.0019309372471511912
921,0.0019369732005585475
922,0.0019431400768462055
923,0.0019494392185861
924,0.0019558720069802714
925,0.001962439862591774
926,0.001969144246101381
927,0.001975986659090814
928,0.001982968644853181
929,0.0019900917892315797
930,0.001997357721486495
931,0.002004768115193064
932,0.0020123246891689227
933,0.002020029208433736
934,0.0020278834852012657
935,0.0020358893799050613
936,0.0020440488022588125
937,0.0020523637123524953
938,0.002060836121785405
939,0.002069468094837325
940,0.0020782617496791036
941,0.0020872192596238025
942,0.00209634285441998
943,0.0021056348215883237
944,0.0021150975078032225
945,0.002124733320320744
946,0.0021345447284546798
947,0.0021445342651022136
948,0.0021547045283210435
949,0.002165058182959735
950,0.0021755979623431475
951,0.002185849806599638
