Wavelength,Reflectance
755.0,0.02408
756.0,0.02411
757.0,0.02412
758.0,0.02415
759.0,0.02416
760.0,0.02418
761.0,0.02423
762.0,0.02426
763.0,0.02429
764.0,0.02433
765.0,0.02436
766.0,0.0244
767.0,0.02445
768.0,0.02446
769.0,0.0245
770.0,0.02455
771.0,0.02458
772.0,0.0246
773.0,0.02463
774.0,0.02468
775.0,0.02473
776.0,0.02476
777.0,0.02477
778.0,0.02482
779.0,0.02485
780.0,0.02486
781.0,0.02489
782.0,0.0249
783.0,0.02491
784.0,0.02497
785.0,0.02504
786.0,0.02509
787.0,0.02512
788.0,0.02514
789.0,0.02516
790.0,0.02521
791.0,0.02524
792.0,0.0253
793.0,0.02535
794.0,0.02535
795.0,0.02538
796.0,0.02542
797.0,0.02545
798.0,0.02548
799.0,0.02551
800.0,0.02554
801.0,0.02558
802.0,0.0256
803.0,0.02561
804.0,0.02566
805.0,0.02569
806.0,0.02572
807.0,0.02576
808.0,0.02579
809.0,0.02582
810.0,0.02583
811.0,0.02588
812.0,0.02592
813.0,0.02594
814.0,0.02597
815.0,0.026
816.0,0.02605
817.0,0.02612
818.0,0.02612
819.0,0.02614
820.0,0.02621
821.0,0.02623
822.0,0.02624
823.0,0.02627
824.0,0.02634
825.0,0.02637
826.0,0.02639
827.0,0.02642
828.0,0.02645
829.0,0.02647
830.0,0.02649
831.0,0.02657
832.0,0.02662
833.0,0.02666
834.0,0.02668
835.0,0.0267
836.0,0.02673
837.0,0.02677
838.0,0.02679
839.0,0.02683
840.0,0.0269
841.0,0.02692
842.0,0.02695
843.0,0.02701
844.0,0.0271
845.0,0.02712
846.0,0.02712
847.0,0.02712
848.0,0.02714
849.0,0.0272
850.0,0.02727
851.0,0.02734
852.0,0.02735
853.0,0.02738
854.0,0.02745
855.0,0.02746
856.0,0.02749
857.0,0.02755
858.0,0.02763
859.0,0.02763
860.0,0.02764
861.0,0.02769
862.0,0.02774
863.0,0.02777
864.0,0.02779
865.0,0.02784
866.0,0.02786
867.0,0.02792
868.0,0.02802
869.0,0.02801
870.0,0.02806
871.0,0.02816
872.0,0.02819
873.0,0.0282
874.0,0.02822
875.0,0.02827
876.0,0.02832
877.0,0.02835
878.0,0.02837
879.0,0.02851
880.0,0.0285
881.0,0.02851
882.0,0.02859
883.0,0.02862
884.0,0.02865
885.0,0.0287
886.0,0.02874
887.0,0.02878
888.0,0.02883
889.0,0.02891
890.0,0.02897
891.0,0.02901
892.0,0.02903
893.0,0.02907
894.0,0.02911
895.0,0.02915
896.0,0.02916
897.0,0.02923
898.0,0.02932
899.0,0.02938
900.0,0.02932
901.0,0.02947
902.0,0.02957
903.0,0.02956
904.0,0.02953
905.0,0.02959
906.0,0.02967
907.0,0.02974
908.0,0.02974
909.0,0.02978
910.0,0.02985
911.0,0.02984
912.0,0.0299
913.0,0.02995
914.0,0.02997
915.0,0.03007
916.0,0.03006
917.0,0.03004
918.0,0.03024
919.0,0.03022
920.0,0.0302
921.0,0.03026
922.0,0.03044
923.0,0.0305
924.0,0.03044
925.0,0.03033
926.0,0.03037
927.0,0.03049
928.0,0.03062
929.0,0.0307
930.0,0.03078
931.0,0.03076
932.0,0.03067
933.0,0.03068
934.0,0.03076
935.0,0.03084
936.0,0.03089
937.0,0.03105
938.0,0.03099
939.0,0.03089
940.0,0.03103
941.0,0.03118
942.0,0.03115
943.0,0.03103
944.0,0.03119
945.0,0.03139
946.0,0.0314
947.0,0.03124
948.0,0.03148
949.0,0.03155
950.0,0.03148
951.0,0.0314
952.0,0.0315
953.0,0.03164
954.0,0.03172
955.0,0.03169
956.0,0.03172
957.0,0.03179
958.0,0.03188
959.0,0.03201
960.0,0.03189
961.0,0.03185
962.0,0.03196
963.0,0.03191
964.0,0.03195
965.0,0.03217
966.0,0.0325
967.0,0.03242
968.0,0.03218
969.0,0.0322
970.0,0.03254
971.0,0.03217
972.0,0.03225
973.0,0.03239
974.0,0.03228
975.0,0.03244
976.0,0.03249
977.0,0.03227
