Wavelength (nm),Responsivity
400,0.024784419224097798
401,0.024917910303854377
402,0.025283487760116994
403,0.025885862562357056
404,0.026733301907730187
405,0.02783698954831694
406,0.029209825607133436
407,0.03086441993024046
408,0.03280994121366895
409,0.03504744279985482
410,0.037563378193527744
411,0.04032138568515511
412,0.04325323594146378
413,0.04625118674256404
414,0.049165609393489504
415,0.051812692394168205
416,0.053995684975160343
417,0.05553830145547692
418,0.056321743885309125
419,0.05631181325170309
420,0.0555647380602156
421,0.05420976528995919
422,0.0524170266579476
423,0.05036370542202388
424,0.04820858985882159
425,0.04607867942132821
426,0.04406623259771837
427,0.04223239959268675
428,0.04061374832073407
429,0.03922918321347793
430,0.03808597562996412
431,0.037184475324281804
432,0.03652153460197617
433,0.03609286617352989
434,0.035894592643059636
435,0.035924213369420796
436,0.03618115957302526
437,0.0366670524720829
438,0.03738572935141668
439,0.03834305956413093
440,0.03954653485163556
441,0.04100458423118948
442,0.042725532650504584
443,0.04471609714338659
444,0.04697930153665709
445,0.04951170488105309
446,0.052299902185347594
447,0.05531639855410313
448,0.05851520860031448
449,0.06182789985208714
450,0.06516123215411569
451,0.06835329983514375
452,0.07148284038165321
453,0.07446743099507762
454,0.07721931652497291
455,0.07965157876782826
456,0.0816854845190431
457,0.08325797153610928
458,0.08432798351499715
459,0.0848804512205579
460,0.0849271628739099
461,0.08450444656320913
462,0.0836682703857919
463,0.08248782762294289
464,0.08103879867282471
465,0.07939729610412347
466,0.07763513211333714
467,0.07581664960480623
468,0.07399703941264421
469,0.07222187351892362
470,0.07052751124627087
471,0.06894204823670173
472,0.06748653730205705
473,0.06617628453337145
474,0.06502209382665279
475,0.06403138908352436
476,0.06320918367714522
477,0.06255889301545542
478,0.062083001314361036
479,0.061783601246224035
480,0.061662827674199186
481,0.06172320625331762
482,0.06196793566630997
483,0.06240111954544303
484,0.06302796121746548
485,0.06385493154793825
486,0.06488991743685849
487,0.06614235590455465
488,0.06762335610956928
489,0.06934580891300571
490,0.07132448056108848
491,0.0735760834777513
492,0.07611931278571488
493,0.07897483172188444
494,0.08216518227969224
495,0.0857145889142486
496,0.08964861278793752
497,0.09399360182244758
498,0.09877586817340553
499,0.10402051079213137
500,0.10974978879662314
501,0.11394928658918804
502,0.11855209268894318
503,0.12355715288250282
504,0.12895238682443164
505,0.1347105326552336
506,0.1407843008569568
507,0.14710108968247604
508,0.15355778700904169
509,0.16001654034323592
510,0.1663027680603054
511,0.17220699252113075
512,0.17749210404383295
513,0.18190717730647524
514,0.18520778875696225
515,0.18718099078876052
516,0.18767113130469928
517,0.1866013577806813
518,0.18398573168618237
519,0.17992873924766928
520,0.17461211848700953
521,0.16827213668122523
522,0.16117249086593852
523,0.1535782344190431
524,0.14573479739464545
525,0.13785408926534096
526,0.1301077182176824
527,0.12262605855313434
528,0.11550135386301374
529,0.10879308422579259
530,0.10253418567583464
531,0.09673716415144583
532,0.09139955614096718
533,0.08650849666399318
534,0.08204435648948946
535,0.07798352389851704
536,0.0743004577745505
537,0.07096915163638028
538,0.06796413985486183
539,0.06526115928168678
540,0.06283755878171478
541,0.060672529389380406
542,0.05874721066240775
543,0.05704471477173257
544,0.05555009882840885
545,0.054250307522813554
546,0.05313410187782022
547,0.05219198535322983
548,0.05141613530097271
549,0.05080034554871343
550,0.050339984442446126
551,0.04991532328988515
552,0.04965200064508937
553,0.04954778865680927
554,0.049602286837717155
555,0.04981693670598047
556,0.050195075980142306
557,0.05074203505802792
558,0.051465279832011976
559,0.05237460641749493
560,0.053482395141627566
561,0.054803933200888694
562,0.05635781779021705
563,0.0581664542560215
564,0.060256666910226006
565,0.06266044345354402
566,0.0654158372148204
567,0.06856805402930914
568,0.07217075140352765
569,0.07628757451625148
570,0.08099394274796724
571,0.08637907506294101
572,0.09254819103135244
573,0.0996247268364342
574,0.10775222963819932
575,0.11709528702244666
576,0.12783833194348315
577,0.1401803286399038
578,0.15432206910094362
579,0.17044103112701198
580,0.18864667903934396
581,0.20890769265423453
582,0.23094446634681354
583,0.2540904412563142
584,0.2771513627498138
585,0.29833463397107196
586,0.3153627979103104
587,0.3258706067688993
588,0.32805063981277216
589,0.32129069838637253
590,0.30643578147329975
591,0.28549469274038036
592,0.2609740736908376
593,0.2352163697948596
594,0.21000597508014068
595,0.18647520371649684
596,0.16519992989468493
597,0.14636161117386973
598,0.12989972100450675
599,0.11562596489695126
600,0.10329888754541355
601,0.09343231807617838
602,0.08483572679348816
603,0.07733311793373453
604,0.07077056707270266
605,0.06501532182413339
606,0.05995386487979482
607,0.05548960683034163
608,0.051540567456723876
609,0.048037222299547086
610,0.04492058804651421
611,0.04214056419631424
612,0.039654519927163095
613,0.037426102204247726
614,0.03542423683370711
615,0.0336222943038338
616,0.03199739451282961
617,0.03052982757754239
618,0.029202571165976292
619,0.02800088785991956
620,0.026911988786768364
621,0.025924752118784686
622,0.025029487033458454
623,0.024217735394360805
624,0.023482104790581847
625,0.022816127707912536
626,0.022214142536490847
627,0.021671192883032545
628,0.02118294228123926
629,0.02074560190684368
630,0.02035586932503432
631,0.020010876644956592
632,0.01970814674275511
633,0.019445556452753216
634,0.019221305825305342
635,0.019033892717346353
636,0.01888209212407918
637,0.018764939782891996
638,0.018681719687947903
639,0.01863195524976258
640,0.018615403921849804
641,0.018632055199205584
642,0.01868213197389572
643,0.01876609531412128
644,0.018884652817780206
645,0.019038770782853227
646,0.019229690538462
647,0.01945894939628763
648,0.019728406817147753
649,0.02004027654796435
650,0.020397165677676864
651,0.02081715141703521
652,0.021288875600061367
653,0.02181647023882073
654,0.022404705774753036
655,0.023059086700491904
656,0.02378596634112993
657,0.024592684964617313
658,0.025487736452991405
659,0.026480970124982947
660,0.02758383604765345
661,0.028809684431440816
662,0.030174132630837854
663,0.03169551708695278
664,0.033395452534562525
665,0.035299527334330325
666,0.03743817238011769
667,0.03984775232052512
668,0.04257194264636947
669,0.045663475533659736
670,0.049186362318560495
671,0.05321873215804364
672,0.057856465216874965
673,0.06321784314963344
674,0.06944948354619673
675,0.0767338514708491
676,0.08529860992849915
677,0.09542789228738546
678,0.10747506218177008
679,0.1218752778720058
680,0.13915342832534158
681,0.1599173469442878
682,0.18481537798668396
683,0.2144188459914142
684,0.24896479989625517
685,0.2878800548976076
686,0.3290655307995964
687,0.36817198317124655
688,0.3985947528300277
689,0.4131870534139367
690,0.40762137710899216
691,0.38305371138944266
692,0.3454721392633844
693,0.302364324538733
694,0.2597153911631339
695,0.22097956082392445
696,0.187505586171861
697,0.15936892826262986
698,0.13604559207398678
699,0.11681585943086834
700,0.10096361355331218
701,0.08858125559068697
702,0.07819288999075627
703,0.06943121829547677
704,0.06199962717048568
705,0.05565978549815685
706,0.05022035763304225
707,0.04552747332872644
708,0.04145698127891355
709,0.037908278665591044
710,0.03479944734215659
711,0.03206343796764788
712,0.029645079668675096
713,0.027498733919097774
714,0.025586449001334312
715,0.023876503032071283
716,0.022342248918076277
717,0.020961194493163717
718,0.019714266454830515
719,0.018585218508900936
720,0.017560153145653158
721,0.016627133359353233
722,0.01577586589180198
723,0.014997441619034014
724,0.014284121805082987
725,0.01362916134201508
726,0.013026661950500219
727,0.012471449757778478
728,0.011958972796442374
729,0.011485214851028765
730,0.011046622775400416
731,0.01064004495449218
732,0.01026267902143405
733,0.009912027290059671
734,0.009585858642402944
735,0.009282175835681888
736,0.00899918737488975
737,0.008735283244349655
738,0.008489013911404828
739,0.008259072113273577
740,0.008044277018308683
741,0.007843560418877519
742,0.0076559546675282995
743,0.007480582113196304
744,0.007316645831658598
745,0.007163421475657158
746,0.007020250096199563
747,0.006886531808419303
748,0.006761720193768672
749,0.006645317345826452
750,0.006536869480117866
751,0.006439923798033905
752,0.006349985440253113
753,0.006266725935152074
754,0.006189846683757536
755,0.006119076645311085
756,0.006054170281381005
757,0.0059949057313064625
758,0.005941083195378664
759,0.0058925235053098116
760,0.005849066864289609
761,0.0058105717413378995
762,0.005776913906787308
763,0.005747985597613125
764,0.005723694803009317
765,0.0057039646621219195
766,0.00568873296722352
767,0.0056779517668713465
768,0.005671587064757349
769,0.005669618611055877
770,0.005672039784118493
771,0.005678857561376481
772,0.005690092579306036
773,0.005705779283305306
774,0.005725966169344329
775,0.005750716120294494
776,0.0057801068409431946
777,0.0058142313968693
778,0.005853198863619775
779,0.005897135094008569
780,0.005946183612884253
781,0.0060005066504125095
782,0.006060286326827797
783,0.006125726003769266
784,0.006197051819770571
785,0.006274514430286766
786,0.00635839097587031
787,0.006448987305838674
788,0.0065466404890980375
789,0.006651721648814151
790,0.006764639163487818
791,0.006885842283859913
792,0.00701582522313751
793,0.007155131787535485
794,0.007304360625357844
795,0.007464171186151631
796,0.007635290497293657
797,0.00781852088424204
798,0.00801474878326501
799,0.008224954822561437
800,0.008450225380323159
801,0.008697689064624295
802,0.00896294671220962
803,0.009247504870446996
804,0.009553042809389258
805,0.009881436180039876
806,0.01023478454801647
807,0.010615443536956738
808,0.01102606247492347
809,0.011469628634640006
810,0.011949519405094873
811,0.012469564041457944
812,0.013034117030033852
813,0.013648145598290942
814,0.014317334527290802
815,0.015048212225314866
816,0.01584830305051483
817,0.016726312198083716
818,0.01769235118886866
819,0.01875821423914249
