Sample Index,red,green,blue,black,Material
4239,58.83265706518559,42.74408551271611,38.49244217520579,112.66367781500848,7
4813,53.04957470194367,38.7291578288867,35.48076147614942,103.49104757689037,7
4207,53.93239789230923,39.0644259281266,35.04394145144718,102.06308101458582,8
5105,59.22118269047908,43.09685781574965,38.9181237726372,113.84909332976125,9
4907,50.421195024617845,36.88806721231883,34.01284972431141,99.46854727507464,2
2886,54.16516077522525,39.52182366759103,36.11718539533779,105.33917424028868,7
590,49.09261119731126,35.25025562534142,31.25352358282959,92.89348711031148,7
3010,58.37095444039293,42.509523970858815,38.48438846171943,112.5998280983484,9
3563,59.023676982970834,42.90758356931089,38.66791896982213,113.1773828969966,7
1011,54.58349915053686,39.58617786354764,35.5630554852394,103.57570949552328,8
4060,59.52791138974109,43.325434199322,39.13637028807256,114.50263430748636,9
1401,57.8779034796102,42.1126783170936,38.11570683285756,111.20732588929928,7
1136,59.42579852395582,43.25360691173184,39.05023778120958,114.26552155432456,9
4019,49.88262064739894,36.46081099932158,33.71355610153881,96.9138866441443,8
1092,58.4679612346795,42.48286529544844,38.24661012781899,112.01209250896086,7
3690,47.94000169523825,34.789909714433044,31.328085524569293,91.6438697541081,2
5196,57.76886025256846,41.98086911783376,37.815239640179634,110.543323992804,2
3621,54.54079587068772,39.47273482151525,35.41675029011541,102.90418495187716,8
6,53.52414788149056,38.97639869333188,35.25863777707035,104.42867285043452,9
786,50.08409534102204,36.66827006237256,33.77663618382313,99.36898261300206,2
3158,57.27127188677951,41.65692631731269,37.56421109916782,110.02900297131384,9
3846,57.216814942645,41.53731748150384,37.35922744210166,109.05436294330336,2
4110,57.898082569765165,42.12912074516681,38.157401090041205,111.28068231836112,7
3581,53.39323226024512,38.69302851118472,34.83704028541111,101.42672848190732,8
2929,57.1120988607642,41.6435103676472,37.83166917429369,110.29838074063836,2
1989,53.32734974353306,38.91187522549966,35.5979623070985,103.85344138143844,7
4941,56.30365749323447,41.05770827377994,37.35779173266567,108.89525827418753,2
5091,56.70449903563505,41.25885517677805,37.27769326760712,109.02864406832772,9
3640,57.55307649457287,41.81444643250624,37.66563307272053,110.25046731424646,2
1326,47.15341408721264,34.21027928074545,30.82514178383802,90.09599410423,2
4191,44.77890737590472,32.22455066706257,28.864799954570497,84.40278743836929,8
3890,56.6615308607124,41.30314451780791,37.54056501051549,109.5754396390866,2
4135,57.80008503478108,42.0708334968694,38.10460052170883,111.25225969928228,7
4408,57.594320057078015,41.834338949484255,37.6568523590815,110.24770857263746,2
4295,58.68074913548014,42.64934069303138,38.41438333130302,112.45142791404422,7
3196,57.742021234136935,41.88855190826136,37.63595332567812,110.23095635275804,7
3653,58.42353359147572,42.46522902616962,38.27272987682592,111.86989667670773,2
658,35.703456480443386,25.455670640489004,23.902332354069628,70.26531761052118,8
