Wavelength (nm),Responsivity
400,0.035235119512298504
401,0.037388352976843967
402,0.03962382878383893
403,0.04188685728635422
404,0.04410774905510205
405,0.04620438427427087
406,0.04808786832175053
407,0.04967114526495181
408,0.050879422768332
409,0.05166029775143101
410,0.05199108367485976
411,0.05188138625511633
412,0.05137033946815986
413,0.05051949926451969
414,0.049403479784832484
415,0.04810061809888259
416,0.046685383934304776
417,0.04522334254675134
418,0.04376866083137294
419,0.042363645097970706
420,0.04103962680170736
421,0.03981856629007292
422,0.03871490198613246
423,0.037737344681306205
424,0.03689045848859785
425,0.03617596846068672
426,0.03559379406096695
427,0.03514283782779062
428,0.03482156998847052
429,0.034628450478381104
430,0.03456222520482834
431,0.034622126723527574
432,0.03480800252560458
433,0.035120387679373456
434,0.035560532905815734
435,0.036130394280612696
436,0.03683258651734711
437,0.03767029803585366
438,0.03864716262460758
439,0.039767079403354964
440,0.041033970025737346
441,0.04245145982564941
442,0.04402246830212181
443,0.04574869461152576
444,0.047629986555857456
445,0.049663588200917506
446,0.05184327324260772
447,0.05415839006664841
448,0.056592871108956375
449,0.05912429327907455
450,0.06172311506026534
451,0.06430264653496287
452,0.06693788278243122
453,0.06960664918752604
454,0.07228297723338753
455,0.07493737738710031
456,0.07753737930779844
457,0.08004835968439622
458,0.08243465078629598
459,0.08466088872948571
460,0.08669352383615822
461,0.0885023825574022
462,0.09006214831686023
463,0.09135362347142553
464,0.09236464969295745
465,0.09309059856253052
466,0.09353439270062097
467,0.09370607169343427
468,0.09362196667963123
469,0.09330358441077034
470,0.0927763209383803
471,0.09206812601637734
472,0.09120822473938867
473,0.0902259780998271
474,0.08914993495396063
475,0.08800709953306288
476,0.08682241475722623
477,0.08561844406306932
478,0.08441522355337008
479,0.08323025125511906
480,0.08207857980892483
481,0.08097298154150978
482,0.0799241592653117
483,0.0789409812536604
484,0.07803072391913132
485,0.07719931032402536
486,0.07645153654878363
487,0.07579128106974109
488,0.07522169468614795
489,0.0747453702770225
490,0.07436449287265606
491,0.07408097130666111
492,0.07389655317544648
493,0.0738129250605657
494,0.07383180003626924
495,0.07395499444468798
496,0.07418449581531186
497,0.07452252366336108
498,0.07497158474371808
499,0.07553452417682123
500,0.0762145737086217
501,0.07549069619825793
502,0.07489448374922207
503,0.07442538078478131
504,0.0740832712105039
505,0.07386852609945924
506,0.07378204998120363
507,0.07382532711588335
508,0.0740004690235504
509,0.07431026444268107
510,0.07475823280765911
511,0.07534868225741528
512,0.07608677310913493
513,0.07697858764175924
514,0.0780312069201112
515,0.07925279523309493
516,0.0806526924930046
517,0.08224151461276329
518,0.08403126139648684
519,0.08603543078174503
520,0.08826913727204685
521,0.0907492309779635
522,0.0934944116880914
523,0.09652532960952356
524,0.09986466058185361
525,0.1035371383348247
526,0.10756951930082403
527,0.11199044610279575
528,0.11683016355408947
529,0.12212002528216451
530,0.12789170953876758
531,0.13417603944548612
532,0.14100127684263306
533,0.14839073279689471
534,0.15635951736524886
535,0.16491024670920568
536,0.17402755397847647
537,0.18367133663482793
538,0.19376885026608842
539,0.20420606409836128
540,0.21481915310852595
541,0.2253876063023046
542,0.23563109424701162
543,0.24521275538517914
544,0.25375158923185004
545,0.2608457757154135
546,0.26610668997505205
547,0.26920029403138546
548,0.2698892760622177
549,0.26806717407762004
550,0.2637761462436016
551,0.25352049404688454
552,0.24168049333572938
553,0.22877248650363946
554,0.21528474292675015
555,0.20164264310754254
556,0.188190504204443
557,0.1751875969486335
558,0.1628140878363864
559,0.15118253499280268
560,0.14035143024000862
561,0.13033844426989108
562,0.12113208457039931
563,0.1127012501108178
564,0.10500265226145714
565,0.09798632778725172
566,0.09159957174674832
567,0.08578962938246092
568,0.08050545173438284
569,0.0756987679016757
570,0.07132467322344928
571,0.06734188460536929
572,0.06371277447252274
573,0.06040326355885065
