Sample,red,green,blue,Material
1,26.708966904833535,29.021435023975823,28.1290710384072,2
2,26.70700075320534,29.02122023433387,28.127523432968662,2
3,26.70739579574828,29.022335425828395,28.127566226336157,2
4,26.699926282072372,29.01214300881889,28.12017591305464,2
5,26.701159618294007,29.013981875022306,28.121157314363188,2
186,18.851139452508512,20.5419361896024,19.879585877748035,2
187,18.852994324192917,20.544231100661293,19.881531196959017,2
188,18.854439236318324,20.54588771412217,19.882390801307846,2
189,18.84847454563128,20.538813258245057,19.876924257922898,2
190,18.852980835672053,20.543339377430797,19.881037220463167,2
191,18.987459012316634,20.69213022267155,20.012536342387946,2
192,18.987158635999673,20.691374740894602,20.012495925379522,2
193,18.986382832716977,20.690825796760976,20.011854408671297,2
194,18.98789426946039,20.693355938413553,20.01278551233596,2
195,18.983459380801186,20.68741089786557,20.008922415197908,2
201,18.62701195196279,20.30974380851527,19.627318130834,2
202,18.626150388995686,20.309445407098117,19.626948303913238,2
203,18.617647995201835,20.29689709039587,19.61782480254996,2
204,18.62695598938902,20.308899332527215,19.627685244882766,2
205,18.618535862749543,20.296828928969358,19.61714355346141,2
221,18.97008483790174,20.68015006301183,19.99261564720717,2
222,18.97378419063224,20.684748905104374,19.99711203186558,2
223,18.971505694104273,20.680209605469212,19.99440567337735,2
224,18.97627712785157,20.684890053501125,19.999405179685333,2
225,18.982525996831328,20.691690498519446,20.005543805179364,2
231,22.654500033640694,24.602964261124658,23.848610209830305,2
232,22.659743784067786,24.609188796417413,23.853922715974765,2
233,22.65847495288267,24.607617098217506,23.851926893569246,2
234,22.659359738552997,24.607689873207526,23.85293092755244,2
235,22.658452644005553,24.607678633129538,23.851876682022358,2
236,18.856043355368094,20.556496100846527,19.877122886061056,2
237,18.856697808015454,20.557025854562127,19.87722095213324,2
238,18.848167769649333,20.546209735920993,19.868137087736415,2
239,18.850010886121343,20.54854820718785,19.870230550746346,2
240,18.853445482580934,20.553281019125482,19.872809765078152,2
246,8.534960031995698,9.65279667999466,9.18078124367488,2
247,8.532210127341887,9.647988064396479,9.17816434603711,2
248,8.527391744256752,9.64185016476929,9.172713324114055,2
249,8.526667003114271,9.641297871437487,9.17176136218121,2
250,8.527786635028352,9.643276030919594,9.172049692805771,2
256,8.64971711605101,9.765491868332825,9.295235238643924,2
257,8.653856238072217,9.770735216001874,9.29882282148646,2
258,8.657774678552357,9.775483590746138,9.303166061358574,2
259,8.656976608193819,9.775220988153603,9.301525206608101,2
260,8.65135089726618,9.768660104737904,9.296385523788581,2
276,8.507012420633624,9.62024812265915,9.151391974627211,2
277,8.506848035059543,9.620400239034046,9.15112931195765,2
278,8.510600059576433,9.625632469134253,9.15407614398364,2
279,8.510999342252779,9.625505704269855,9.153643755749693,2
280,8.516102155823473,9.632193693893948,9.160191291028276,2
286,8.363467111674373,9.510464389622207,9.033128765819994,2
287,8.343018154430009,9.489595334927323,9.01564226874875,2
288,8.344582240385042,9.492139092165926,9.017658585759662,2
289,8.283908588398496,9.427273769008302,8.954235194883266,2
290,8.326732857089414,9.47425570191255,8.999920329814245,2
307,22.9396778918547,25.034390595595912,24.23026251367414,2
308,22.930835875623256,25.024687458713508,24.220984266320738,2
309,22.921447228929487,25.01500336948298,24.211284946862396,2
310,22.914530380211417,25.008279036716463,24.20448975344501,2
311,22.905180873346083,24.998315667543697,24.194498938201793,2
337,7.526647584862312,8.587804443993187,8.132149137003234,2
338,7.526146478682161,8.586406363178874,8.131539664142302,2
339,7.526370085708677,8.586765892392354,8.13155480979726,2
340,7.528309197634416,8.58887115892182,8.132961497250774,2
341,7.528783933276811,8.589979869075181,8.133722577511392,2
347,22.68228047015629,24.383275907503627,23.662452602669497,2
348,22.683789312885672,24.385083674120423,23.663451487377518,2
349,22.6809450210151,24.380980170162726,23.660470771217284,2
350,22.68192327794598,24.382802756778243,23.661687546700094,2
351,22.680196174218604,24.379941450494726,23.65972027048933,2
488,25.72822565064985,27.988030531100826,27.099986502905516,2
489,25.667113969406387,27.91700883206018,27.035680296827287,2
490,25.437420591706616,27.664197624585835,26.783880237581297,2
491,25.47023316225571,27.69411722375772,26.81507286283251,2
492,25.60398945787925,27.860128389528917,26.971547409429117,2
493,26.344868360096918,28.643911975242226,27.752660006199577,2
494,26.280984284594737,28.572394925850823,27.685457623233425,2
495,26.282388250648008,28.57941333676323,27.688647330658217,2
496,26.172981103908832,28.459411654374044,27.570881948741885,2
497,26.286544939500526,28.57261018422761,27.683638399986183,2
543,26.368167280430534,28.673532448315783,27.78154204501483,2
544,26.32073185256572,28.618462272750175,27.729862784440268,2
545,26.259156252813867,28.552523685396185,27.663807365784848,2
546,26.372087988401507,28.663719876921558,27.775257181161365,2
547,26.339981679857928,28.62998696958122,27.741967575484964,2
563,25.21838615352003,27.45121296539967,26.580799645512386,2
564,24.75813957958328,26.95319542503838,26.09401830834812,2
565,25.287987341422873,27.522473010810803,26.652783897566177,2
566,25.067564547000238,27.285614028423115,26.418877828715573,2
567,24.756335382938303,26.952581468317675,26.09279985421231,2
573,25.668565465670913,27.923957582859792,27.05508628044992,2
574,25.769385929228168,28.01412115491763,27.14991565325444,2
575,25.741779072581295,27.989842126398568,27.12138332179941,2
576,25.615238224273767,27.859562237866932,26.995774970555374,2
577,25.521768547743925,27.764827074317342,26.899292951440792,2
603,24.303775449870724,26.450378483207164,25.617057578057278,2
604,23.637529823672534,25.741271468749282,24.922249891203236,2
605,24.212676824420726,26.34059104136084,25.510367207488365,2
606,23.41255791529797,25.477331991172115,24.668278047678566,2
607,24.084411410626778,26.21304146290005,25.381737353811076,2
619,26.462975988510085,28.770659942094813,27.879851922335654,2
620,26.35526343840959,28.65938994602795,27.76844297441873,2
661,28.158847847807518,31.039611977597787,29.63455269807636,2
662,28.012301342106372,30.94244368730874,29.497113140216342,2
663,28.039226936911252,30.933767301943565,29.519174565177895,2
664,28.656984241865853,31.473474099227495,30.14988385680738,2
665,27.735421539553617,30.706638463314096,29.213920797859124,2
666,27.38385405597382,30.242410752185375,28.8217114996328,2
667,27.586458495419787,30.404804649336214,29.01884553580316,2
668,27.523957777260502,30.35861205655555,28.96381502678384,2
669,27.314400945842948,30.173305850308715,28.750276701411302,2
670,27.40820029890908,30.232434523576046,28.8427623600568,2
671,26.959329197741997,29.558782383214766,28.327192195276858,2
672,26.88293799254526,29.47694573709614,28.246978831517772,2
673,27.130631522096213,29.71038585126197,28.49695087963937,2
674,26.642539347627537,29.28236886859114,27.997601227491252,2
675,27.03027957199909,29.60466412574909,28.398695249259678,2
676,28.65893022510512,31.72114949929074,30.125783070725934,2
677,28.493744746213697,31.558980276293457,29.954693459853807,2
678,28.720485059013555,31.727770494338387,30.189558158551538,2
679,28.418385082255828,31.511284364271855,29.87645828445406,2
680,28.79894568097588,31.76200343251409,30.25955163276801,2
777,30.991942421214056,34.00286468145449,32.64491116657055,2
778,29.729047361904044,32.975784342771355,31.41709906534997,2
779,30.007045003086912,33.24384942946662,31.697361499012793,2
780,29.914757103909388,33.06452018549609,31.58217675339655,2
781,29.848991542867633,33.087450564387126,31.53318222252213,2
782,31.5545539604616,34.97395043291465,33.28129240233146,2
783,31.569436292251623,34.979889934190524,33.29490625818425,2
784,31.521202072842957,34.93514725305017,33.24408804597661,2
785,31.985480567656133,35.180524287079,33.68035755754398,2
786,30.950081104997736,34.41616190759736,32.660983374807266,2
788,28.819341538011372,31.890050037843537,30.378570503564486,2
789,28.867743508958267,31.85369810994003,30.412211821846807,2
790,28.80066237701744,31.80443012164216,30.346015992876293,2
791,28.767939297804563,31.722155565960342,30.30340737984718,2
792,28.771429635564825,31.745674916242233,30.30717074093141,2
793,29.779462944915515,32.99464684946873,31.359588653579486,2
794,29.730617146803958,33.110313071760515,31.330574713993467,2
795,29.760589645703234,33.02056038952398,31.346711226172662,2
796,29.734570730684265,33.052768668941816,31.32866914053312,2
797,29.75976305047704,32.977271517846376,31.340273430824517,2
902,27.162187546831984,29.467621249537565,28.62680774014632,2
903,27.170052104706865,29.477363024701223,28.635353269657163,2
904,27.173070806108324,29.47911127408272,28.637316212381023,2
905,27.175291766900045,29.482124984242084,28.639412174187633,2
906,27.16412269029964,29.469894623918147,28.627818713689248,2
907,33.36253786623599,35.98547249271752,34.98723014505285,2
908,33.36131556041867,35.983730608197135,34.98543815631667,2
909,33.34071972699282,35.95754006654593,34.964074727158525,2
910,33.33902718122228,35.955009278455016,34.96263804879158,2
911,33.338435902815405,35.954850348898205,34.96215420800441,2
912,33.72206565701446,36.391061825286016,35.3558388395216,2
913,33.721429160920756,36.39073649527727,35.355570928023894,2
914,33.71439408128237,36.38223061197771,35.34886735366603,2
915,33.71883842183199,36.38787950022793,35.352538284825144,2
916,33.71874124723296,36.3875990516165,35.352993611465635,2
917,34.312056949882056,36.98912742951489,35.9615003877733,2
918,34.304764486302545,36.9808982068969,35.95467087347189,2
919,34.304788252205896,36.98147967110996,35.954042704342704,2
920,34.30758850352819,36.9854264986498,35.957207170978485,2
921,34.30075079750263,36.977155308130996,35.94960963152916,2
922,34.75567135110148,37.394199913925384,36.413024364360325,2
923,34.759962728041025,37.39877142130822,36.417219473401204,2
924,34.77168568285993,37.40955474207397,36.42928470999401,2
925,34.78152552144727,37.41874593031752,36.43836047807552,2
926,34.77136040739615,37.407924095272136,36.42893207295513,2
927,28.541931773932628,30.885274953080607,30.017045757526784,2
928,28.536612827968444,30.87690654287118,30.01128558079878,2
929,28.536053106300034,30.876680567990682,30.009697138036802,2
930,28.508943861002027,30.845993238715238,29.98198811872951,2
931,28.500924106818044,30.836287302763882,29.97323062951929,2
1022,32.248898020166685,34.689505453235334,33.80445048167477,2
1023,31.549119249220205,33.9505247338328,33.077627430704936,2
1024,32.143087960872855,34.57964489660292,33.69555194315971,2
1025,30.551454706750967,32.89687338172801,32.048189743412756,2
1026,32.25682712597781,34.69829950167674,33.81264427760529,2
1027,34.783477531735684,37.394594480370536,36.41039943028775,2
1028,34.99459804325097,37.60579895423594,36.628358056274244,2
1029,34.81725678686377,37.429774190380485,36.44713051227554,2
1030,34.815235909327534,37.42645546881468,36.445258361601,2
1031,34.75534927207541,37.36679405240457,36.38383896573232,2
1032,34.825282481566816,37.46366160218484,36.46136364878827,2
1033,34.831033561448336,37.4701495712258,36.467223198860566,2
1034,34.867640370528875,37.50515840199572,36.50371996908432,2
1035,35.02277270091711,37.65775534359697,36.663019652395086,2
1036,34.872855842954436,37.51018930859956,36.51032963502762,2
1037,34.93729884095191,37.58899681702965,36.58413019279173,2
1038,34.932275094907205,37.583295127814836,36.578916863197264,2
1039,35.134212682285735,37.78041840639999,36.782915514392734,2
1040,34.92544859213142,37.576787663385204,36.57329366540355,2
1041,34.91942101490677,37.56997048330535,36.56722924056293,2
1042,35.213023755516346,37.8341739603502,36.86953891693548,2
1043,35.207787593286774,37.83023028036321,36.863915363697096,2
1044,35.156560814493716,37.78112134851148,36.8131370132874,2
1045,35.197272804550806,37.82006781514362,36.85306232336352,2
1046,35.0629940811947,37.68835247200897,36.719562140589765,2
1047,31.585760053727427,34.021719831291115,33.11906576937274,2
1048,31.600319308369,34.033561369676306,33.13377650605393,2
1049,31.289071333778242,33.701761560850606,32.81320908606994,2
1050,31.367548268055675,33.77979895643504,32.89089639767361,2
1051,29.321005399235897,31.601262431561103,30.772618774103254,2
1299,27.70813718614678,29.853504924287666,29.09226006775455,2
1300,28.202403332080504,30.3761978924144,29.60752781202504,2
1301,27.749956131399234,29.89967982636022,29.135674425822135,2
1302,30.577226616651277,32.9160663791744,32.06669534094798,2
1303,29.098177103934496,31.349434792290406,30.542304610996453,2
1304,34.9106430773828,37.52334656735426,36.538731240419715,2
1305,34.83957396592367,37.45091276917926,36.464416886702395,2
1306,34.89748074132685,37.50923960952933,36.52512486099786,2
1307,34.784614299736475,37.39550945436617,36.40571315951643,2
1308,34.91875275885613,37.53049759235692,36.546228106974574,2
1309,34.78008155298089,37.4191990911698,36.41206134619986,2
1310,34.6993335375463,37.34078713865607,36.32923163440639,2
1311,34.67465902279799,37.3180148978766,36.303981288098086,2
1312,34.726152224208626,37.36672253232226,36.35565556018186,2
1313,34.73571886506825,37.37651528658893,36.364982212080314,2
1314,34.85139577413167,37.507756005658244,36.493842258744294,2
1315,35.02929137299596,37.681847955481324,36.672072826139235,2
1316,34.96926921996189,37.62687913137872,36.61083585565827,2
1317,35.016243856511124,37.66961218511964,36.659218543188786,2
1318,35.07578962629974,37.72879404789509,36.71735603490835,2
1319,35.08985682037578,37.72032348717893,36.742918475225736,2
1320,35.133066230932435,37.76437770327448,36.78620187323303,2
