Wavelength (nm),Responsivity
400,0.0263143088193502
401,0.025753895912146448
402,0.02549020525019975
403,0.025517144638578546
404,0.025833751972770554
405,0.026444759799038917
406,0.02736039137404668
407,0.028595378645624038
408,0.03016693793426823
409,0.03209119510499544
410,0.03437734406350358
411,0.03701876564611915
412,0.03998069311221638
413,0.0431852227094712
414,0.04649697254202234
415,0.04971631330277837
416,0.05258994880879499
417,0.054846631340182056
418,0.056255229898695455
419,0.05668612046253368
420,0.05614750903385772
421,0.05477800127092103
422,0.05280096941055175
423,0.050465237882259595
424,0.04799680540588136
425,0.04557299226741274
426,0.04331703566695985
427,0.04130511555297389
428,0.03957812772167206
429,0.03815338607063964
430,0.0370341478327733
431,0.03621653718058634
432,0.035694207347484776
433,0.03546129441400818
434,0.03551417331066003
435,0.035852398100071146
436,0.03647907058842552
437,0.037400758666523155
438,0.03862698035361083
439,0.040169175920199016
440,0.04203900474757506
441,0.04424572968363298
442,0.046792408759123494
443,0.04967064583807891
444,0.05285383398979836
445,0.056289261621081665
446,0.05989023230285776
447,0.06353044583963313
448,0.06704397698099304
449,0.07023450987722908
450,0.07289600570221641
451,0.07519508031375494
452,0.07697002619763764
453,0.0781518264938018
454,0.07871046811590358
455,0.07865812897205635
456,0.0780458324217185
457,0.07695472110662695
458,0.075484379728485
459,0.07374093350956284
460,0.0718270610275967
461,0.06983503739091856
462,0.0678429456252542
463,0.06591354311077899
464,0.06409499620027555
465,0.062422705242256654
466,0.060921600262483715
467,0.05960848652680277
468,0.05849419663330833
469,0.057585437565313514
470,0.05688630639945713
471,0.05639949640343977
472,0.05612723751678805
473,0.05607202152453833
474,0.05623715974199755
475,0.05662721432401942
476,0.057248336044961975
477,0.05810853288497439
478,0.05921788547640583
479,0.060588717366736156
480,0.062235719786536414
481,0.06417602162529448
482,0.06642918494480678
483,0.06901709386443129
484,0.07196368931866896
485,0.07529448347622714
486,0.07903576545881796
487,0.08321338535097549
488,0.08785097916112056
489,0.09296747934079876
490,0.09857375448215591
491,0.10466825525528273
492,0.11123163631761039
493,0.1182205060598559
494,0.12556075516724474
495,0.13314133771406705
496,0.14080988074137632
497,0.14837194986938396
498,0.155595965059833
499,0.16222534179194423
500,0.1679981953094433
501,0.17046982141128733
502,0.17169809087230295
503,0.17156116198786975
504,0.17001633645208925
505,0.16710765320566773
506,0.16296084184789494
507,0.15776676875482595
508,0.15175741953118932
509,0.1451798304561578
510,0.1382729068237975
511,0.13125029882479672
512,0.12429038173672574
513,0.11753268306829465
514,0.11107915781951036
515,0.1049984841306013
516,0.09933178700573861
517,0.09409863196265753
518,0.08930257472772317
519,0.08493591184619284
520,0.08098352415731941
521,0.07742585234189957
522,0.07424111693996822
523,0.07140692034824075
524,0.06890136591874138
525,0.06670381352908478
526,0.06479537057662815
527,0.06315919705094972
528,0.06178068543475686
529,0.06064756147125936
530,0.05974994033502893
531,0.059080364116365386
532,0.05863384032334833
533,0.05840789687629446
534,0.05840266643572249
535,0.05862101156996853
536,0.05906870201921363
537,0.05975465601240812
538,0.06069125917187636
539,0.06189477698022086
540,0.06338588010667542
541,0.06519030613227732
542,0.06733968639071078
