Sample,red,green,blue,Material
1,27.553219692140136,28.05701351593525,27.588321205254147,2
2,27.551783173999265,28.05604223234949,27.587241636462263,2
3,27.552100264846953,28.05767751612599,27.58784571594802,2
4,27.544466185653487,28.04887644521158,27.579239889468056,2
5,27.54561610929289,28.050249287718025,27.581480572948482,2
6,33.95869505022545,34.36968259778176,33.71271443919102,10
7,33.96227881035814,34.37382605113408,33.7166217326095,10
8,33.95923258484021,34.36989204181524,33.71220407913019,10
9,33.9627568149663,34.37496479013581,33.71654645608259,10
10,33.96205742447027,34.37351207582524,33.71577644132285,10
11,18.244536363322883,18.626317052516725,18.17786194305099,8
12,18.25068720177853,18.63239025017579,18.18320974741099,8
13,18.24458508978177,18.624860050552005,18.177650549948215,8
14,18.247163423931468,18.627606020626672,18.180218030109064,8
15,18.244387602326178,18.62447677093302,18.17728586533677,8
16,35.414541522287195,35.86908267116586,35.16496932466578,9
17,35.409652874784484,35.86172543212423,35.15941153337022,9
18,35.41526202451155,35.86941466990875,35.165315487595684,9
19,35.41755574268919,35.87170414186815,35.16794756506466,9
20,35.41206476075592,35.865483836525115,35.1619108901595,9
21,28.370975978397894,28.843770962452975,28.348421757551094,7
22,28.369856071749506,28.84177946023602,28.348020633133938,7
23,28.367765045556652,28.83831458426867,28.344777346345545,7
24,28.375739952888758,28.84855540624416,28.353860342982486,7
25,28.376177549158516,28.849386652936186,28.35421783898597,7
26,15.67392520212138,16.418457458050298,15.53125682324127,10
27,15.666666332542905,16.409745286654765,15.5228572860558,10
28,15.671511792487614,16.415097824821196,15.527779694744847,10
29,15.665948506893415,16.4085342455447,15.522444599454742,10
30,15.666007072862248,16.40815112084199,15.522534462379955,10
31,15.538247578685366,16.27490519764828,15.394578001724515,10
32,15.51281082073996,16.253990715909946,15.371659845546674,10
33,15.403856946513422,16.146943724359264,15.263866220364234,10
34,15.34256525668148,16.08970904821758,15.205673441612923,10
35,15.835353409871017,16.585032845826053,15.697568507093818,10
46,17.032347266505727,17.220274511297255,16.98380594459142,7
47,17.130999000024143,17.321544839863105,17.08165531594451,7
48,17.227473746181698,17.419122714608744,17.176341264685078,7
49,17.30683243911533,17.498567798306723,17.254777262556615,7
50,17.383970598224153,17.57593853467606,17.331268399645495,7
51,20.91865126260802,21.254574273685623,20.863845316346005,7
52,21.578793714305082,21.92112950423439,21.52624458309849,7
53,19.022116298187676,19.29562709539122,18.988526932610082,7
54,20.965936697179703,21.305639718822306,20.933143392989578,7
55,18.253935897654532,18.47417762345757,18.203204806329552,7
151,8.272550651928096,8.36465788909334,8.172695303699639,5
152,8.279399518037721,8.372451714142752,8.17874647647434,5
153,8.272709327806515,8.364069785035161,8.17226360427504,5
154,8.280905497066275,8.374363171833318,8.181262700797703,5
155,8.271572586945998,8.362868829440794,8.171917095278461,5
156,17.074841975104675,17.259611790016375,16.897654311213223,5
157,17.079862872847112,17.26708778303364,16.902711169370644,5
158,17.078235703652602,17.264616016556868,16.900157935713484,5
159,17.07220861997621,17.257529153308344,16.894169772347155,5
160,17.079430237559638,17.26457121146123,16.901148620689398,5
161,28.404683491174634,28.84700759322634,28.25454783411587,10
162,28.4018259342986,28.84323375042612,28.25120333623831,10
163,28.403442794699444,28.844696397694168,28.252467124045065,10
164,28.41186021435262,28.85441104280371,28.261155778622054,10
165,28.402203231868455,28.8426777873508,28.251629176592996,10
166,22.676751606053955,23.16165713121457,22.660112908406003,10
167,22.67517764144463,23.160580537469258,22.659215377251392,10
168,22.681790884706743,23.168332355504226,22.66575209425351,10
169,22.678959906558585,23.16475802504831,22.66279343220328,10
170,22.67867711382354,23.16499003830637,22.662769513826166,10
171,28.533826810722946,28.972195922117553,28.374340595473367,10
172,28.531614789500775,28.968121963341037,28.371137247670067,10
173,28.531053900637602,28.967002949254166,28.37096488921053,10
174,28.53118265576404,28.967857079957827,28.370971328389462,10
175,28.530229361386862,28.966571433811634,28.36941558088712,10
176,13.383370147837542,13.505949107008922,13.217705715412409,5
177,13.383981459351679,13.506180704675861,13.216972165361954,5
178,13.391253216195585,13.51457937283547,13.225770578521383,5
179,13.38132485940442,13.502043038460483,13.214608515015524,5
180,13.381635717535563,13.50254321706578,13.216333391735999,5
181,23.985477864503835,24.205773114733176,23.73158861751085,5
182,23.97715734883822,24.196248052510967,23.722617857320238,5
183,23.976146237142228,24.197647182698688,23.722415257711976,5
184,23.971775227056007,24.191666072635385,23.71698420504675,5
185,23.9675266304961,24.18639751041352,23.714052241201447,5
186,19.525417711430002,19.83018122477608,19.504661854119856,2
187,19.527990267662652,19.83258715664507,19.506617875892786,2
188,19.529047461298035,19.833936202884058,19.508134736888287,2
189,19.522662345994153,19.82733781903345,19.5019441670547,2
190,19.527526887609962,19.831534656748815,19.50695624944924,2
191,19.660362065752818,19.971965759122476,19.63908963347851,2
192,19.660563467598497,19.97178432918613,19.638514049624007,2
193,19.659586346914416,19.971100913460553,19.637935684225326,2
194,19.661388242077848,19.972897643184915,19.63920201007092,2
195,19.656701214215737,19.96722069028326,19.635090198690826,2
196,27.353022356508603,27.788565385505535,27.222584559279454,10
197,27.343820340683965,27.77617267166797,27.211882268137064,10
198,27.34789757910781,27.782406248672295,27.21626380487065,10
199,27.3461970095379,27.77855071908705,27.214263980612763,10
200,27.3485717215755,27.784832832993676,27.217693430987907,10
201,19.282958579404326,19.595675970259265,19.274908025667024,2
202,19.282961607346742,19.593935344226804,19.274477618692107,2
203,19.273513582107174,19.58260561249991,19.264891525501397,2
204,19.283648052749903,19.59512006724398,19.27455070751525,2
205,19.274147903207922,19.58254810019124,19.26424359201606,2
206,28.25975503912692,28.697614681877027,28.108461614898626,10
207,28.259697198427588,28.697551124323745,28.10797810457921,10
208,28.26766561516809,28.70814653594979,28.11564132094256,10
209,28.259813864981243,28.69772790646167,28.108052098191838,10
210,28.266730933248517,28.705855903886462,28.115013805777608,10
211,29.706649918132328,30.15092057051906,29.529915502606695,10
212,29.709857948462403,30.155235234871533,29.533579899308624,10
213,29.709333640875325,30.15388412570401,29.532249499690792,10
214,29.699689937026804,30.14247339228728,29.523141454156043,10
215,29.70921064962961,30.15529025407704,29.532010729344087,10
216,19.89537479166163,20.111910616010604,19.694297008440397,5
217,19.89548437492949,20.112917798210752,19.695097367795952,5
218,19.89458634331305,20.11240979799716,19.693819388026363,5
219,19.887799214195567,20.102739069774714,19.686327287809725,5
220,19.889609104459304,20.10581598944104,19.689310482487127,5
221,19.639617825895062,19.953831930643183,19.628162220899526,2
222,19.64407814506753,19.957577945775757,19.63278105971672,2
223,19.64110309084081,19.95416941608988,19.629455111547777,2
224,19.64575292241812,19.95982937402489,19.634508579563875,2
225,19.652294627282426,19.967355085997035,19.64031466987572,2
226,20.995587150887506,21.175181637235283,20.75639144474238,5
227,20.99163634477133,21.17055676698338,20.751903866546925,5
228,20.989029239202118,21.17006067420817,20.750544339323667,5
229,20.97817046379277,21.156990858453643,20.738391447691324,5
230,20.96798621922916,21.145700199242295,20.72865630511673,5
231,23.44862002735464,23.789127822109084,23.3653346902778,2
232,23.454195236914316,23.79558588001853,23.370160383791795,2
233,23.452256671333533,23.79357445625792,23.36902872599931,2
234,23.45400362161499,23.793211808040816,23.36923799924001,2
235,23.452793986208412,23.79523141571949,23.36852964226621,2
236,19.527388202017356,19.83628203926932,19.509873068532553,2
237,19.527829042146077,19.838003428673407,19.510206855109953,2
238,19.519439511227755,19.82694725613756,19.50092597382723,2
239,19.521136738156077,19.82856708060204,19.50281708064598,2
240,19.52439073942685,19.832977884842375,19.506649130893628,2
241,21.93530495631081,22.382034728785683,21.90543012901193,10
242,21.934086149971094,22.381608607967976,21.905199950451223,10
243,21.935862912730784,22.384644307539155,21.906321190803627,10
244,21.934538663274235,22.381582541683024,21.904808596555778,10
