Wavelength(nm),QE(%)
400.93260775267163,33.01735320857371
401.89873417721515,34.964724800046504
401.60889624985214,34.34346554763139
401.319058322489,33.92090864720329
401.319058322489,33.504933629959424
400.93260775267163,32.42588873093008
402.3127883591624,35.755937678968934
403.0580858866674,36.85922584772688
402.7682479593044,36.2741787061879
403.52182657044835,37.57691439013623
404.0518159233408,38.43055643106115
403.0580858866674,37.95116026799202
404.6038881659371,39.485506936291046
404.6038881659371,39.00453582260283
405.37678930557195,40.26242968490721
407.3642493789187,40.910633521607814
410.37649355258486,41.37528215266726
411.7532237075594,42.11662845144695
412.9125754170117,42.87253716677177
413.98911629007455,43.61449464041858
415.2312788359162,44.277807425035846
416.3906305453685,44.90302756072435
418.3780906187152,45.45977260457111
419.96529831617966,45.930980591536034
422.4772270199929,46.37041727988038
424.50609251153435,46.82271606494725
425.6654442209866,47.47300612
426.24512007571275,48.19072757537528
426.8247959304389,49.155805599954476
426.24512007571275,48.61710196805023
427.404471785165,49.954725746552015
427.81852596711224,50.89426900271709
426.8247959304389,50.515152531304956
428.5638234946173,52.19811655478904
428.2739855672542,51.549001832469195
429.288418313025,52.96295488752319
430.1579320951141,53.596913648475045
431.0757521984305,53.89615622499512
432.33171655033715,52.9215712970023
432.6215544777002,52.295091200818526
432.73748964864546,51.74135736852857
432.6215544777002,53.48061999996354
433.4910682597894,51.102009690719605
434.07074411451555,50.40021639620019
435.15763634212703,49.815560053975275
436.51366378800424,49.47053714978936
438.41831302496155,50.24545986783079
439.5776647344138,51.025742119322246
440.7370164438661,51.82552319974701
441.6065302259553,52.47898078963217
442.1862060806814,52.93736781664447
442.7658819354075,53.40550425812342
443.7320083599511,53.99724298089971
444.2150715722229,54.552446767100825
444.794747426949,55.05178133487306
445.9540991364013,55.70239637395803
447.11345084585355,56.48267862544949
448.18999171891636,57.25109879550578
449.4321542647581,57.925553768084946
450.88134390157336,58.53599992669739
452.62037146575176,58.984966633402244
455.7119760242912,59.42131806400398
458.9968058677392,59.942219269009904
462.474860996096,59.94320655148754
465.00059150597417,59.434168407363686
466.4359793367246,58.8198984880442
466.9383650774873,58.255874978376205
467.74991127410385,57.71793766572841
468.8512953980835,57.22817973798923
470.18454986395363,56.770985677304076
472.0395125990773,57.84492276073732
471.45983674435115,57.235419809491894
472.42596316889467,58.58761286066713
473.1988643085295,59.3661605116944
473.7785401632556,60.12190467993962
474.35821601798176,60.77852980110719
475.18632438187626,61.35908715804549
477.00816278244406,61.565734783304926
479.2854607831539,61.09840932386117
482.7635159115107,61.03440050989445
485.46866990023267,60.82068127799958
486.38649000354906,60.3009730393208
487.27670649473555,59.66890656978441
487.806695847628,58.96375651484104
488.38637170235415,58.48035010437465
488.9660475570803,57.996943693908264
489.912851453133,57.45514500979239
491.4586537324027,57.013610346183064
495.16857920264994,56.97696571155482
496.48251114002915,57.67799660460538
497.0621869947553,58.2501268003953
497.25541227966403,58.78314964026554
498.2077368981427,59.399025852504984
498.99443984384243,59.97957145608046
499.36708860759495,60.59714015256728
499.86395362593163,61.17444652934708
501.8928191174731,61.59879699294289
505.49509050041405,61.79666485616906
507.97941559209744,62.281358847533355
510.8777948657281,62.47229516503112
512.6168224299065,61.91382237684849
513.0515793209511,61.47847194098103
514.6870933396427,61.08617407315619
517.7510942860523,61.282032111338594
519.6695453290745,61.87682670845042
520.8288970385267,62.38412535487559
521.9744469419142,63.038125558344696
522.4713119602508,63.614317716328316
523.796285342482,64.1807169724028
525.2040695611025,64.55995097744324
526.9430971252809,63.65792739376902
527.5724594818407,62.97620414161641
527.1087187980598,64.27079474512425
528.152135336567,62.39140382069682
528.731811191293,61.80660349977725
528.9636815331835,61.237303513756565
530.08990890808,60.66714318157678
533.4023423636579,60.512092819136654
536.3110729918372,61.21209078748394
535.5140186915887,60.704894982983525
537.4600733467407,61.98401345966327
537.8906896959659,62.65155275355385
538.5863007216373,63.20551695175527
540.3832958712883,63.73639519468797
542.7599668756654,63.62527655183007
542.8759020466107,63.12873928441113
544.2505619306755,62.67118557082341
546.2380220040222,62.501831365820394
547.9770495682006,63.11978792328057
550.2377854016326,63.46230912418832
552.6144564060097,63.238097273517255
552.9042943333727,62.77670726230214
553.773808115462,62.344080080602154
554.8365471824599,61.82831274447994
555.9958988919121,61.269675409217704
556.9040577309831,60.72266606758097
558.121377025908,60.11984784144454
559.763791947632,59.42702236276365
562.9658109546906,59.4006948300267
564.7876493552585,59.91375262423807
566.4438660830474,60.46018996888381
567.6860286288892,61.11236056553919
569.4250561930676,61.69162897035392
571.7437596119721,61.63162413532428
571.8596947829174,61.14028655562089
572.9031113214244,60.633613188098224
573.3861745336961,60.10468208560752
574.1783982018219,59.56543936612818
575.1252020978745,58.967744039070155
575.8981032375093,58.39599778646598
576.9608423045072,57.71105489645574
577.6564533301787,57.132972797729224
578.6032572262313,56.5248780952401
580.0248432509168,56.029454263059826
581.7431681059979,55.84331037925559
583.3372767064948,56.3767308745682
585.3661421980362,56.955772047701565
587.6848456169407,57.448775666585966
589.7137111084821,57.996943693908264
591.3699278362711,58.600949009690424
592.5154777396585,59.26516288545792
593.7714420915652,59.85512685044704
594.9307938010174,60.461776672865724
596.9182538743642,61.02594984202041
598.9057139477109,61.399777300159485
601.3072282030048,61.25003945771806
601.5970661303679,60.801648665791824
602.4665799124571,60.337823357798555
603.1428684096377,59.775149134183316
604.2056074766356,59.071868059819145
605.3649591860878,58.38096366829266
605.9446350408139,57.88195819467962
606.6402460664854,57.35958703576255
607.6836626049924,56.78383210287617
608.3792736306636,56.260346725162904
