Wavelength,Responsivity
400,0.0
401,0.005375142024644615
402,0.0054525695195057075
403,0.005547754858872383
404,0.005635995875601947
405,0.005727582548134773
406,0.005794872289102986
407,0.005856123583640308
408,0.005956200256329887
409,0.006084835601685908
410,0.006244814651617652
411,0.006747852666015548
412,0.007048738592823112
413,0.007784900827270479
414,0.008610152572038416
415,0.009401188362724019
416,0.010338987060180367
417,0.011277968294924523
418,0.012429474546027818
419,0.01385234312485183
420,0.01565000034091941
421,0.018467433724934604
422,0.021437136398064646
423,0.025711853092434345
424,0.03182162909069904
425,0.039848937729846726
426,0.05045689579319746
427,0.06449212727576818
428,0.08235623460182867
429,0.10258061307051819
430,0.1202101643012333
431,0.1272325989079869
432,0.11947092543221093
433,0.10164966833133462
434,0.08174710535575799
435,0.06443238795530817
436,0.05094647271460514
437,0.04085219342602037
438,0.0332262736194325
439,0.027416827755213983
440,0.022913767099264046
441,0.01939139218716672
442,0.01659784345829221
443,0.014306251577252833
444,0.012352634597656452
445,0.010846230746986063
446,0.009634720764824113
447,0.00865351934202407
448,0.00785398677715918
449,0.007181633414683516
450,0.006622772325766013
451,0.006220986675424695
452,0.005955139718127213
453,0.005792796819463856
454,0.00560587339310409
455,0.005443897903696376
456,0.005245928776638562
457,0.00507385520753317
458,0.004924991063880956
459,0.0048054693093118285
460,0.00471016917583321
461,0.004657197584991065
462,0.00465694633311265
463,0.00471858161071504
464,0.004724031630936824
465,0.004728040389286306
466,0.004712204926708696
467,0.004698972372888218
468,0.004604686212445863
469,0.00453008324724241
470,0.004513117614193086
471,0.00453648812007702
472,0.004585558929403484
473,0.004648564459432377
474,0.004726175312905349
475,0.0048456915384469616
476,0.004991369687576907
477,0.005205520730380811
478,0.005435715677249762
479,0.00568589142324878
480,0.005927018685525937
481,0.0061828576297812635
482,0.006430237724976203
483,0.006711595778425903
484,0.007003077591193621
485,0.007314949344189558
486,0.0076717413038828435
487,0.008059299818398426
488,0.008548517581781859
489,0.00912145707060908
490,0.00979908383116722
491,0.010595799465568602
492,0.011693714524546569
493,0.013014682811104987
494,0.014595381886390056
495,0.01642434604459968
496,0.018759784859052126
497,0.0216004947336538
498,0.02500025514916224
499,0.02915469304550431
500,0.03436295334546067
501,0.03991220671949228
502,0.04665759301416841
503,0.054087364024651155
504,0.06367680604529351
505,0.07642807744715763
506,0.09246919564214355
507,0.1123771836938769
508,0.1349897663752615
509,0.15718742620170592
510,0.17375940625861522
511,0.17871451059406768
512,0.16967237927349924
513,0.15018299184327807
514,0.12694674074051346
515,0.10449454199649783
516,0.08520953397129206
517,0.06860570331065238
518,0.055471195312934325
519,0.04541330776414075
520,0.03769952033828709
521,0.031746041770405097
